repo_name,repo_owner,repo_url,repo_owner_url,stars
public-apis,public-apis,/public-apis/public-apis,/public-apis,180000.0
neovim,neovim,/neovim/neovim,/neovim,50700.0
strapi,strapi,/strapi/strapi,/strapi,43000.0
fastapi,tiangolo,/tiangolo/fastapi,/tiangolo,41600.0
hoppscotch,hoppscotch,/hoppscotch/hoppscotch,/hoppscotch,36300.0
slate,slatedocs,/slatedocs/slate,/slatedocs,33700.0
graphql-engine,hasura,/hasura/graphql-engine,/hasura,25500.0
yapi,YMFE,/YMFE/yapi,/YMFE,23500.0
ccxt,ccxt,/ccxt/ccxt,/ccxt,23200.0
NeteaseCloudMusicApi,Binaryify,/Binaryify/NeteaseCloudMusicApi,/Binaryify,22800.0
django-rest-framework,encode,/encode/django-rest-framework,/encode,22800.0
ItChat,littlecodersh,/littlecodersh/ItChat,/littlecodersh,22000.0
normalizr,paularmstrong,/paularmstrong/normalizr,/paularmstrong,20800.0
security-guide-for-developers,FallibleInc,/FallibleInc/security-guide-for-developers,/FallibleInc,20100.0
insomnia,Kong,/Kong/insomnia,/Kong,19600.0
api-guidelines,microsoft,/microsoft/api-guidelines,/microsoft,18500.0
rxdb,pubkey,/pubkey/rxdb,/pubkey,17000.0
API-Security-Checklist,shieldfy,/shieldfy/API-Security-Checklist,/shieldfy,16700.0
directus,directus,/directus/directus,/directus,13800.0
learn-anything,learn-anything,/learn-anything/learn-anything,/learn-anything,13600.0
web3.js,ChainSafe,/ChainSafe/web3.js,/ChainSafe,13600.0
wxpy,youfou,/youfou/wxpy,/youfou,13100.0
jsdoc,jsdoc,/jsdoc/jsdoc,/jsdoc,12700.0
brain.js,BrainJS,/BrainJS/brain.js,/BrainJS,12400.0
free-api,fangzesheng,/fangzesheng/free-api,/fangzesheng,11900.0
openapi-generator,OpenAPITools,/OpenAPITools/openapi-generator,/OpenAPITools,11200.0
postgraphile,graphile,/graphile/postgraphile,/graphile,11100.0
chi,go-chi,/go-chi/chi,/go-chi,10900.0
httpbin,postmanlabs,/postmanlabs/httpbin,/postmanlabs,10500.0
showdoc,star7th,/star7th/showdoc,/star7th,10200.0
