repo_name,repo_owner,repo_url,repo_owner_url,stars
aspnetboilerplate,aspnetboilerplate,/aspnetboilerplate/aspnetboilerplate,/aspnetboilerplate,10200.0
AspNetCore.Docs,dotnet,/dotnet/AspNetCore.Docs,/dotnet,10100.0
server,bitwarden,/bitwarden/server,/bitwarden,9200.0
nopCommerce,nopSolutions,/nopSolutions/nopCommerce,/nopSolutions,7000.0
Electron.NET,ElectronNET,/ElectronNET/Electron.NET,/ElectronNET,6200.0
NSwag,RicoSuter,/RicoSuter/NSwag,/RicoSuter,4900.0
clean-code-dotnet,thangchung,/thangchung/clean-code-dotnet,/thangchung,4600.0
ImageProcessor,JimBobSquarePants,/JimBobSquarePants/ImageProcessor,/JimBobSquarePants,2500.0
SmartStoreNET,smartstore,/smartstore/SmartStoreNET,/smartstore,2400.0
aspnet-api-versioning,dotnet,/dotnet/aspnet-api-versioning,/dotnet,2200.0
BaGet,loic-sharma,/loic-sharma/BaGet,/loic-sharma,1900.0
Awesome-Microservices-DotNet,mjebrahimi,/mjebrahimi/Awesome-Microservices-DotNet,/mjebrahimi,1600.0
aspnetcore-angular-universal,TrilonIO,/TrilonIO/aspnetcore-angular-universal,/TrilonIO,1500.0
aspnetcore-Vue-starter,TrilonIO,/TrilonIO/aspnetcore-Vue-starter,/TrilonIO,1200.0
DncZeus,lampo1024,/lampo1024/DncZeus,/lampo1024,1200.0
csla,MarimerLLC,/MarimerLLC/csla,/MarimerLLC,98000.0
dotvvm,riganti,/riganti/dotvvm,/riganti,59000.0
aspnet-core-3-jwt-authentication-api,cornflourblue,/cornflourblue/aspnet-core-3-jwt-authentication-api,/cornflourblue,58000.0
JsonApiDotNetCore,json-api-dotnet,/json-api-dotnet/JsonApiDotNetCore,/json-api-dotnet,53000.0
SharPyShell,antonioCoco,/antonioCoco/SharPyShell,/antonioCoco,51000.0
mvcarchitecture,chsakell,/chsakell/mvcarchitecture,/chsakell,45000.0
Gofer.NET,brthor,/brthor/Gofer.NET,/brthor,43000.0
YAFNET,YAFNET,/YAFNET/YAFNET,/YAFNET,42000.0
rrod,Maarten88,/Maarten88/rrod,/Maarten88,37000.0
BlazorTable,IvanJosipovic,/IvanJosipovic/BlazorTable,/IvanJosipovic,37000.0
SapphireDb,SapphireDb,/SapphireDb/SapphireDb,/SapphireDb,36000.0
WebMarkupMin,Taritsyn,/Taritsyn/WebMarkupMin,/Taritsyn,34000.0
aspnet-core-identity,chsakell,/chsakell/aspnet-core-identity,/chsakell,32000.0
aspnetcore-vueclimiddleware,EEParker,/EEParker/aspnetcore-vueclimiddleware,/EEParker,31000.0
datatables.aspnet,ALMMa,/ALMMa/datatables.aspnet,/ALMMa,28000.0
