repo_name,repo_owner,repo_url,repo_owner_url,stars
infinite-scroll,metafizzy,/metafizzy/infinite-scroll,/metafizzy,7000.0
Blog,ljianshu,/ljianshu/Blog,/ljianshu,6900.0
unfetch,developit,/developit/unfetch,/developit,5300.0
form,jquery-form,/jquery-form/form,/jquery-form,5100.0
tabulator,olifolkerd,/olifolkerd/tabulator,/olifolkerd,4400.0
elFinder,Studio-42,/Studio-42/elFinder,/Studio-42,4200.0
reqwest,ded,/ded/reqwest,/ded,2900.0
learn-to-send-email-via-google-script-html-no-server,dwyl,/dwyl/learn-to-send-email-via-google-script-html-no-server,/dwyl,2800.0
bliss,LeaVerou,/LeaVerou/bliss,/LeaVerou,2400.0
wretch,elbywan,/elbywan/wretch,/elbywan,2300.0
featherlight,noelboss,/noelboss/featherlight,/noelboss,2000.0
Ajax-hook,wendux,/wendux/Ajax-hook,/wendux,2000.0
web-interview,yisainan,/yisainan/web-interview,/yisainan,1900.0
jquery-confirm,craftpip,/craftpip/jquery-confirm,/craftpip,1800.0
sente,ptaoussanis,/ptaoussanis/sente,/ptaoussanis,1600.0
Enterprise,joaomilho,/joaomilho/Enterprise,/joaomilho,1500.0
tracy,nette,/nette/tracy,/nette,1500.0
jeeplatform,u014427391,/u014427391/jeeplatform,/u014427391,1300.0
css-spinner,loadingio,/loadingio/css-spinner,/loadingio,1200.0
pjax,MoOx,/MoOx/pjax,/MoOx,1200.0
eCommerce,codingforentrepreneurs,/codingforentrepreneurs/eCommerce,/codingforentrepreneurs,1200.0
uploader,danielm,/danielm/uploader,/danielm,1100.0
render_async,renderedtext,/renderedtext/render_async,/renderedtext,1000.0
saber,swlib,/swlib/saber,/swlib,94000.0
RestClient,proyecto26,/proyecto26/RestClient,/proyecto26,86000.0
infinite-ajax-scroll,webcreate,/webcreate/infinite-ajax-scroll,/webcreate,84000.0
opensource-socialnetwork,opensource-socialnetwork,/opensource-socialnetwork/opensource-socialnetwork,/opensource-socialnetwork,84000.0
tsrpc,k8w,/k8w/tsrpc,/k8w,82000.0
rapid.js,rapidjs,/rapidjs/rapid.js,/rapidjs,70000.0
JavaScriptStudy,csxiaoyaojianxian,/csxiaoyaojianxian/JavaScriptStudy,/csxiaoyaojianxian,59000.0
