repo_name,repo_owner,repo_url,repo_owner_url,stars
coding-interview-university,jwasham,/jwasham/coding-interview-university,/jwasham,209000.0
CS-Notes,CyC2018,/CyC2018/CS-Notes,/CyC2018,146000.0
javascript-algorithms,trekhleb,/trekhleb/javascript-algorithms,/trekhleb,135000.0
Python,TheAlgorithms,/TheAlgorithms/Python,/TheAlgorithms,129000.0
tech-interview-handbook,yangshun,/yangshun/tech-interview-handbook,/yangshun,65800.0
interviews,kdn251,/kdn251/interviews,/kdn251,56200.0
leetcode,azl397985856,/azl397985856/leetcode,/azl397985856,46500.0
Java,TheAlgorithms,/TheAlgorithms/Java,/TheAlgorithms,44300.0
algorithm-visualizer,algorithm-visualizer,/algorithm-visualizer/algorithm-visualizer,/algorithm-visualizer,36300.0
JCSprout,crossoverJie,/crossoverJie/JCSprout,/crossoverJie,26600.0
interactive-coding-challenges,donnemartin,/donnemartin/interactive-coding-challenges,/donnemartin,24700.0
LeetCode-Go,halfrost,/halfrost/LeetCode-Go,/halfrost,23300.0
leetcode-master,youngyangyang04,/youngyangyang04/leetcode-master,/youngyangyang04,22300.0
interview,huihut,/huihut/interview,/huihut,22200.0
algorithms,keon,/keon/algorithms,/keon,20400.0
homemade-machine-learning,trekhleb,/trekhleb/homemade-machine-learning,/trekhleb,18900.0
C-Plus-Plus,TheAlgorithms,/TheAlgorithms/C-Plus-Plus,/TheAlgorithms,17900.0
Javascript,TheAlgorithms,/TheAlgorithms/Javascript,/TheAlgorithms,17400.0
WaveFunctionCollapse,mxgmn,/mxgmn/WaveFunctionCollapse,/mxgmn,17300.0
PythonRobotics,AtsushiSakai,/AtsushiSakai/PythonRobotics,/AtsushiSakai,14400.0
algorithm-pattern,greyireland,/greyireland/algorithm-pattern,/greyireland,13200.0
cosmos,OpenGenus,/OpenGenus/cosmos,/OpenGenus,13000.0
Algorithms,williamfiset,/williamfiset/Algorithms,/williamfiset,11900.0
Halfrost-Field,halfrost,/halfrost/Halfrost-Field,/halfrost,10600.0
apachecn-algo-zh,apachecn,/apachecn/apachecn-algo-zh,/apachecn,10500.0
awesome-competitive-programming,lnishan,/lnishan/awesome-competitive-programming,/lnishan,9300.0
awesome-java-leetcode,Blankj,/Blankj/awesome-java-leetcode,/Blankj,8300.0
algorithms,jeffgerickson,/jeffgerickson/algorithms,/jeffgerickson,7400.0
javascript-algorithms,mgechev,/mgechev/javascript-algorithms,/mgechev,7100.0
vscode-leetcode,LeetCode-OpenSource,/LeetCode-OpenSource/vscode-leetcode,/LeetCode-OpenSource,7100.0
