repo_name,repo_owner,repo_url,repo_owner_url,stars
amp,amphp,/amphp/amp,/amphp,3500.0
MadelineProto,danog,/danog/MadelineProto,/danog,1800.0
http-server,amphp,/amphp/http-server,/amphp,1200.0
telegram-api,unreal4u,/unreal4u/telegram-api,/unreal4u,69000.0
http-client,amphp,/amphp/http-client,/amphp,59000.0
parallel,amphp,/amphp/parallel,/amphp,56000.0
service-bus,php-service-bus,/php-service-bus/service-bus,/php-service-bus,31000.0
byte-stream,amphp,/amphp/byte-stream,/amphp,27000.0
mysql,amphp,/amphp/mysql,/amphp,26000.0
parallel-functions,amphp,/amphp/parallel-functions,/amphp,21000.0
process,amphp,/amphp/process,/amphp,16000.0
socket,amphp,/amphp/socket,/amphp,15000.0
redis,amphp,/amphp/redis,/amphp,12000.0
dns,amphp,/amphp/dns,/amphp,10000.0
acme,kelunik,/kelunik/acme,/kelunik,10000.0
websocket-client,amphp,/amphp/websocket-client,/amphp,9000.0
sync,amphp,/amphp/sync,/amphp,9000.0
mailgrab,PeeHaa,/PeeHaa/mailgrab,/PeeHaa,9000.0
websocket-server,amphp,/amphp/websocket-server,/amphp,7000.0
file,amphp,/amphp/file,/amphp,7000.0
asynit,jolicode,/jolicode/asynit,/jolicode,6000.0
cache,amphp,/amphp/cache,/amphp,6000.0
postgres,amphp,/amphp/postgres,/amphp,6000.0
serialization,amphp,/amphp/serialization,/amphp,6000.0
windows-registry,amphp,/amphp/windows-registry,/amphp,6000.0
hpack,amphp,/amphp/hpack,/amphp,5000.0
beanstalk,amphp,/amphp/beanstalk,/amphp,5000.0
ridge,phpinnacle,/phpinnacle/ridge,/phpinnacle,4000.0
aerys,amphp,/amphp/aerys,/amphp,4000.0
cluster,amphp,/amphp/cluster,/amphp,4000.0
