repo_name,repo_owner,repo_url,repo_owner_url,stars
Tasmota,arendst,/arendst/Tasmota,/arendst,17100.0
Marlin,MarlinFirmware,/MarlinFirmware/Marlin,/MarlinFirmware,12600.0
johnny-five,rwaldron,/rwaldron/johnny-five,/rwaldron,12500.0
Arduino,arduino,/arduino/Arduino,/arduino,12500.0
esp8266_deauther,SpacehuhnTech,/SpacehuhnTech/esp8266_deauther,/SpacehuhnTech,9600.0
tinygo,tinygo-org,/tinygo-org/tinygo,/tinygo-org,9400.0
arduino-esp32,espressif,/espressif/arduino-esp32,/espressif,8100.0
gobot,hybridgroup,/hybridgroup/gobot,/hybridgroup,7600.0
lowlevelprogramming-university,gurugio,/gurugio/lowlevelprogramming-university,/gurugio,7300.0
platformio-core,platformio,/platformio/platformio-core,/platformio,5700.0
ArduinoJson,bblanchon,/bblanchon/ArduinoJson,/bblanchon,5500.0
WiFiManager,tzapu,/tzapu/WiFiManager,/tzapu,5000.0
cylon,hybridgroup,/hybridgroup/cylon,/hybridgroup,3900.0
Arduino-IRremote,Arduino-IRremote,/Arduino-IRremote/Arduino-IRremote,/Arduino-IRremote,3500.0
blynk-library,blynkkk,/blynkkk/blynk-library,/blynkkk,3300.0
arduino-cli,arduino,/arduino/arduino-cli,/arduino,3300.0
nectarjs,NectarJS,/NectarJS/nectarjs,/NectarJS,3200.0
u8g2,olikraus,/olikraus/u8g2,/olikraus,2800.0
PJON,gioblu,/gioblu/PJON,/gioblu,2600.0
OpenMQTTGateway,1technophile,/1technophile/OpenMQTTGateway,/1technophile,2500.0
Serial-Studio,Serial-Studio,/Serial-Studio/Serial-Studio,/Serial-Studio,2300.0
audio-reactive-led-strip,scottlawsonbc,/scottlawsonbc/audio-reactive-led-strip,/scottlawsonbc,2300.0
OpenBot,isl-org,/isl-org/OpenBot,/isl-org,2100.0
IRremoteESP8266,crankyoldgit,/crankyoldgit/IRremoteESP8266,/crankyoldgit,2000.0
splitflap,scottbez1,/scottbez1/splitflap,/scottbez1,2000.0
RF24,nRF24,/nRF24/RF24,/nRF24,1800.0
Arduino_Core_STM32,stm32duino,/stm32duino/Arduino_Core_STM32,/stm32duino,1800.0
TFT_eSPI,Bodmer,/Bodmer/TFT_eSPI,/Bodmer,1700.0
blinker-library,blinker-iot,/blinker-iot/blinker-library,/blinker-iot,1700.0
esp8266-oled-ssd1306,ThingPulse,/ThingPulse/esp8266-oled-ssd1306,/ThingPulse,1600.0
