repo_name,repo_owner,repo_url,repo_owner_url,stars
bitcoin,bitcoin,/bitcoin/bitcoin,/bitcoin,61900.0
ccxt,ccxt,/ccxt/ccxt,/ccxt,23200.0
ZeroNet,HelloZeroNet,/HelloZeroNet/ZeroNet,/HelloZeroNet,17300.0
freqtrade,freqtrade,/freqtrade/freqtrade,/freqtrade,15800.0
gekko,askmike,/askmike/gekko,/askmike,9900.0
abu,bbfamily,/bbfamily/abu,/bbfamily,8800.0
solana,solana-labs,/solana-labs/solana,/solana-labs,7300.0
lbry-sdk,lbryio,/lbryio/lbry-sdk,/lbryio,7100.0
blockchain,dvf,/dvf/blockchain,/dvf,6700.0
blockchain_guide,yeasy,/yeasy/blockchain_guide,/yeasy,6000.0
lnd,lightningnetwork,/lightningnetwork/lnd,/lightningnetwork,5800.0
blackbird,butor,/butor/blackbird,/butor,5500.0
electrum,spesmilo,/spesmilo/electrum,/spesmilo,5500.0
btcd,btcsuite,/btcsuite/btcd,/btcsuite,4700.0
bitcoinjs-lib,bitcoinjs,/bitcoinjs/bitcoinjs-lib,/bitcoinjs,4500.0
bitcoinj,bitcoinj,/bitcoinj/bitcoinj,/bitcoinj,4200.0
bisq,bisq-network,/bisq-network/bisq,/bisq-network,3900.0
Crypto-Signal,CryptoSignal,/CryptoSignal/Crypto-Signal,/CryptoSignal,3800.0
tribeca,michaelgrosner,/michaelgrosner/tribeca,/michaelgrosner,3700.0
CryptoList,coinpride,/coinpride/CryptoList,/coinpride,3600.0
EthList,Scanate,/Scanate/EthList,/Scanate,3600.0
alpha_vantage,RomelTorres,/RomelTorres/alpha_vantage,/RomelTorres,3600.0
jesse,jesse-ai,/jesse-ai/jesse,/jesse-ai,3600.0
awesome-coins,Zheaoli,/Zheaoli/awesome-coins,/Zheaoli,3500.0
wallet,bitpay,/bitpay/wallet,/bitpay,3400.0
btcpayserver,btcpayserver,/btcpayserver/btcpayserver,/btcpayserver,3300.0
squeezer,SqueezerIO,/SqueezerIO/squeezer,/SqueezerIO,3300.0
blockchain_go,Jeiwan,/Jeiwan/blockchain_go,/Jeiwan,3200.0
cointop,cointop-sh,/cointop-sh/cointop,/cointop-sh,3000.0
bitcoin-wallet,bitcoin-wallet,/bitcoin-wallet/bitcoin-wallet,/bitcoin-wallet,2700.0
