repo_name,repo_owner,repo_url,repo_owner_url,stars
CS-Notes,CyC2018,/CyC2018/CS-Notes,/CyC2018,146000.0
project-based-learning,practical-tutorials,/practical-tutorials/project-based-learning,/practical-tutorials,62800.0
leetcode,azl397985856,/azl397985856/leetcode,/azl397985856,46500.0
x64dbg,x64dbg,/x64dbg/x64dbg,/x64dbg,38100.0
awesome-cpp,fffaraz,/fffaraz/awesome-cpp,/fffaraz,35800.0
calculator,microsoft,/microsoft/calculator,/microsoft,23800.0
openpose,CMU-Perceptual-Computing-Lab,/CMU-Perceptual-Computing-Lab/openpose,/CMU-Perceptual-Computing-Lab,23300.0
leetcode-master,youngyangyang04,/youngyangyang04/leetcode-master,/youngyangyang04,22300.0
interview,huihut,/huihut/interview,/huihut,22200.0
yuzu,yuzu-emu,/yuzu-emu/yuzu,/yuzu-emu,18900.0
C-Plus-Plus,TheAlgorithms,/TheAlgorithms/C-Plus-Plus,/TheAlgorithms,17900.0
modern-cpp-tutorial,changkun,/changkun/modern-cpp-tutorial,/changkun,16500.0
vcpkg,microsoft,/microsoft/vcpkg,/microsoft,14900.0
solidity,ethereum,/ethereum/solidity,/ethereum,14800.0
Catch2,catchorg,/catchorg/Catch2,/catchorg,14500.0
spdlog,gabime,/gabime/spdlog,/gabime,13800.0
modern-cpp-features,AnthonyCalandra,/AnthonyCalandra/modern-cpp-features,/AnthonyCalandra,13500.0
Qv2ray,Qv2ray,/Qv2ray/Qv2ray,/Qv2ray,13100.0
infer,facebook,/facebook/infer,/facebook,12900.0
Sourcetrail,CoatiSoftware,/CoatiSoftware/Sourcetrail,/CoatiSoftware,12400.0
leetcode,doocs,/doocs/leetcode,/doocs,12300.0
tinyrenderer,ssloy,/ssloy/tinyrenderer,/ssloy,12100.0
tink,google,/google/tink,/google,12100.0
antlr4,antlr,/antlr/antlr4,/antlr,11500.0
BackgroundMusic,kyleneideck,/kyleneideck/BackgroundMusic,/kyleneideck,10900.0
openage,SFTtech,/SFTtech/openage,/SFTtech,10800.0
OpenRCT2,OpenRCT2,/OpenRCT2/OpenRCT2,/OpenRCT2,10200.0
compiler-explorer,compiler-explorer,/compiler-explorer/compiler-explorer,/compiler-explorer,10200.0
Ciphey,Ciphey,/Ciphey/Ciphey,/Ciphey,9400.0
milewski-ctfp-pdf,hmemcpy,/hmemcpy/milewski-ctfp-pdf,/hmemcpy,9200.0
