repo_name,repo_owner,repo_url,repo_owner_url,stars
COVID-19,CSSEGISandData,/CSSEGISandData/COVID-19,/CSSEGISandData,28300.0
covid19india-react,covid19india,/covid19india/covid19india-react,/covid19india,6900.0
covid-19-data,nytimes,/nytimes/covid-19-data,/nytimes,6800.0
covid19,tokyo-metropolitan-gov,/tokyo-metropolitan-gov/covid19,/tokyo-metropolitan-gov,6300.0
covid-19-data,owid,/owid/covid-19-data,/owid,4900.0
COVID-19,pcm-dpc,/pcm-dpc/COVID-19,/pcm-dpc,3900.0
covid-chestxray-dataset,ieee8023,/ieee8023/covid-chestxray-dataset,/ieee8023,2800.0
API,disease-sh,/disease-sh/API,/disease-sh,2300.0
corona,geohot,/geohot/corona,/geohot,2200.0
app,WorldHealthOrganization,/WorldHealthOrganization/app,/WorldHealthOrganization,2100.0
corona-cli,ahmadawais,/ahmadawais/corona-cli,/ahmadawais,1800.0
cwa-server,corona-warn-app,/corona-warn-app/cwa-server,/corona-warn-app,1800.0
coronavirus-tracker-api,ExpDev07,/ExpDev07/coronavirus-tracker-api,/ExpDev07,1600.0
covid19-dashboard,github,/github/covid19-dashboard,/github,1500.0
awesome-coronavirus,soroushchehresa,/soroushchehresa/awesome-coronavirus,/soroushchehresa,1500.0
CoronaTracker,mhdhejazi,/mhdhejazi/CoronaTracker,/mhdhejazi,1500.0
covid19_scenarios,neherlab,/neherlab/covid19_scenarios,/neherlab,1400.0
covidpass,covidpass-org,/covidpass-org/covidpass,/covidpass-org,1200.0
covid19,pomber,/pomber/covid19,/pomber,1200.0
Face-Mask-Detection,chandrikadeb7,/chandrikadeb7/Face-Mask-Detection,/chandrikadeb7,1200.0
tika-python,chrismattmann,/chrismattmann/tika-python,/chrismattmann,1100.0
covid-19,datasets,/datasets/covid-19,/datasets,1100.0
coronavirus,FoldingAtHome,/FoldingAtHome/coronavirus,/FoldingAtHome,1100.0
COVID-Net,lindawangg,/lindawangg/COVID-Net,/lindawangg,1100.0
ESP32-Paxcounter,cyberman54,/cyberman54/ESP32-Paxcounter,/cyberman54,98000.0
covid19model,ImperialCollegeLondon,/ImperialCollegeLondon/covid19model,/ImperialCollegeLondon,94000.0
COVID-CT,UCSD-AI4H,/UCSD-AI4H/COVID-CT,/UCSD-AI4H,92000.0
coronavirus-data,nychealth,/nychealth/coronavirus-data,/nychealth,90000.0
covid19-public,MoH-Malaysia,/MoH-Malaysia/covid19-public,/MoH-Malaysia,89000.0
makair,makers-for-life,/makers-for-life/makair,/makers-for-life,77000.0
