repo_name,repo_owner,repo_url,repo_owner_url,stars
electron,electron,/electron/electron,/electron,100000.0
playwright,microsoft,/microsoft/playwright,/microsoft,34200.0
mkcert,FiloSottile,/FiloSottile/mkcert,/FiloSottile,33700.0
bypass-paywalls-chrome,iamadamdev,/iamadamdev/bypass-paywalls-chrome,/iamadamdev,22000.0
octotree,ovity,/ovity/octotree,/ovity,21800.0
nightmare,segmentio,/segmentio/nightmare,/segmentio,19100.0
linux-command,jaywcjlove,/jaywcjlove/linux-command,/jaywcjlove,17900.0
headless-recorder,checkly,/checkly/headless-recorder,/checkly,13900.0
chromeless,prisma-archive,/prisma-archive/chromeless,/prisma-archive,13200.0
WebFundamentals,google,/google/WebFundamentals,/google,12400.0
react-color,casesandberg,/casesandberg/react-color,/casesandberg,10400.0
chrome-extensions-samples,GoogleChrome,/GoogleChrome/chrome-extensions-samples,/GoogleChrome,9500.0
ext-saladict,crimx,/crimx/ext-saladict,/crimx,8700.0
uBlock,uBlock-LLC,/uBlock-LLC/uBlock,/uBlock-LLC,8100.0
chromedp,chromedp,/chromedp/chromedp,/chromedp,7200.0
metamask-extension,MetaMask,/MetaMask/metamask-extension,/MetaMask,7200.0
url-to-pdf-api,alvarcarto,/alvarcarto/url-to-pdf-api,/alvarcarto,6600.0
InfoSpider,kangvcar,/kangvcar/InfoSpider,/kangvcar,6000.0
simpread,Kenshin,/Kenshin/simpread,/Kenshin,5500.0
headless-chrome-crawler,yujiosaka,/yujiosaka/headless-chrome-crawler,/yujiosaka,5200.0
ferret,MontFerret,/MontFerret/ferret,/MontFerret,4900.0
SingleFile,gildas-lormeau,/gildas-lormeau/SingleFile,/gildas-lormeau,4700.0
debugger,firefox-devtools,/firefox-devtools/debugger,/firefox-devtools,4600.0
themer,themerdev,/themerdev/themer,/themerdev,4600.0
polar-bookshelf,burtonator,/burtonator/polar-bookshelf,/burtonator,4400.0
fetool,nieweidong,/nieweidong/fetool,/nieweidong,4300.0
HackBrowserData,moonD4rk,/moonD4rk/HackBrowserData,/moonD4rk,4100.0
chrome,browserless,/browserless/chrome,/browserless,4100.0
SponsorBlock,ajayyy,/ajayyy/SponsorBlock,/ajayyy,4000.0
Surfingkeys,brookhong,/brookhong/Surfingkeys,/brookhong,3900.0
