repo_name,repo_owner,repo_url,repo_owner_url,stars
metabase,metabase,/metabase/metabase,/metabase,27400.0
deeplearning4j,eclipse,/eclipse/deeplearning4j,/eclipse,12300.0
LightTable,LightTable,/LightTable/LightTable,/LightTable,11700.0
logseq,logseq,/logseq/logseq,/logseq,10700.0
mal,kanaka,/kanaka/mal,/kanaka,8400.0
awesomo,lk-geimfari,/lk-geimfari/awesomo,/lk-geimfari,8300.0
penpot,penpot,/penpot/penpot,/penpot,7000.0
datascript,tonsky,/tonsky/datascript,/tonsky,4600.0
reagent,reagent-project,/reagent-project/reagent,/reagent-project,4400.0
riemann,riemann,/riemann/riemann,/riemann,4100.0
compojure,weavejester,/weavejester/compojure,/weavejester,3900.0
clojure-style-guide,bbatsov,/bbatsov/clojure-style-guide,/bbatsov,3800.0
intellij-rainbow-brackets,izhangzhihao,/izhangzhihao/intellij-rainbow-brackets,/izhangzhihao,3700.0
ring,ring-clojure,/ring-clojure/ring,/ring-clojure,3400.0
status-react,status-im,/status-im/status-react,/status-im,3400.0
cider,clojure-emacs,/clojure-emacs/cider,/clojure-emacs,3300.0
klipse,viebel,/viebel/klipse,/viebel,2900.0
lein-figwheel,bhauman,/bhauman/lein-figwheel,/bhauman,2900.0
Rich-Hickey-fanclub,tallesl,/tallesl/Rich-Hickey-fanclub,/tallesl,2800.0
beakerx,twosigma,/twosigma/beakerx,/twosigma,2600.0
babashka,babashka,/babashka/babashka,/babashka,2600.0
pedestal,pedestal,/pedestal/pedestal,/pedestal,2500.0
aleph,clj-commons,/clj-commons/aleph,/clj-commons,2400.0
hiccup,weavejester,/weavejester/hiccup,/weavejester,2400.0
awesome-clojure,razum2um,/razum2um/awesome-clojure,/razum2um,2300.0
http-kit,http-kit,/http-kit/http-kit,/http-kit,2200.0
defold,defold,/defold/defold,/defold,2000.0
onyx,onyx-platform,/onyx-platform/onyx,/onyx-platform,2000.0
lumo,anmonteiro,/anmonteiro/lumo,/anmonteiro,1900.0
boot,boot-clj,/boot-clj/boot,/boot-clj,1700.0
