repo_name,repo_owner,repo_url,repo_owner_url,stars
SwiftLint,realm,/realm/SwiftLint,/realm,15700.0
infer,facebook,/facebook/infer,/facebook,12900.0
static-analysis,analysis-tools-dev,/analysis-tools-dev/static-analysis,/analysis-tools-dev,9500.0
checkstyle,checkstyle,/checkstyle/checkstyle,/checkstyle,6600.0
sonarqube,SonarSource,/SonarSource/sonarqube,/SonarSource,6500.0
awesome-guidelines,Kristories,/Kristories/awesome-guidelines,/Kristories,6500.0
pyre-check,facebook,/facebook/pyre-check,/facebook,5800.0
reviewdog,reviewdog,/reviewdog/reviewdog,/reviewdog,4700.0
simplecov,simplecov-ruby,/simplecov-ruby/simplecov,/simplecov-ruby,4400.0
detekt,detekt,/detekt/detekt,/detekt,4300.0
eslint-plugin-import,import-js,/import-js/eslint-plugin-import,/import-js,3800.0
pylint,PyCQA,/PyCQA/pylint,/PyCQA,3800.0
pmd,pmd,/pmd/pmd,/pmd,3700.0
grumphp,phpro,/phpro/grumphp,/phpro,3700.0
HTMLHint,htmlhint,/htmlhint/HTMLHint,/htmlhint,2700.0
jscpd,kucherenko,/kucherenko/jscpd,/kucherenko,2500.0
codeclimate,codeclimate,/codeclimate/codeclimate,/codeclimate,2300.0
state-of-the-art-shitcode,trekhleb,/trekhleb/state-of-the-art-shitcode,/trekhleb,2300.0
piranha,uber,/uber/piranha,/uber,1900.0
wemake-python-styleguide,wemake-services,/wemake-services/wemake-python-styleguide,/wemake-services,1800.0
cross-platform-node-guide,ehmicky,/ehmicky/cross-platform-node-guide,/ehmicky,1200.0
feflow,Tencent,/Tencent/feflow,/Tencent,1100.0
typewiz,urish,/urish/typewiz,/urish,1100.0
phpqa,jakzal,/jakzal/phpqa,/jakzal,98000.0
CodeAnalysis,Tencent,/Tencent/CodeAnalysis,/Tencent,98000.0
unused,joshuaclayton,/joshuaclayton/unused,/joshuaclayton,87000.0
Imgbot,imgbot,/imgbot/Imgbot,/imgbot,86000.0
SonarJS,SonarSource,/SonarSource/SonarJS,/SonarSource,78000.0
pdepend,pdepend,/pdepend/pdepend,/pdepend,78000.0
SonarTS,SonarSource,/SonarSource/SonarTS,/SonarSource,76000.0
