repo_name,repo_owner,repo_url,repo_owner_url,stars
octotree,ovity,/ovity/octotree,/ovity,21800.0
gitpod,gitpod-io,/gitpod-io/gitpod,/gitpod-io,7100.0
reviewdog,reviewdog,/reviewdog/reviewdog,/reviewdog,4700.0
danger,danger,/danger/danger,/danger,4700.0
danger-js,danger,/danger/danger-js,/danger,4200.0
awesome-code-review,joho,/joho/awesome-code-review,/joho,3300.0
hound,houndci,/houndci/hound,/houndci,1900.0
nodejsscan,ajinabraham,/ajinabraham/nodejsscan,/ajinabraham,1900.0
mutant,mbj,/mbj/mutant,/mbj,1800.0
vscode-pull-request-github,microsoft,/microsoft/vscode-pull-request-github,/microsoft,1800.0
cargo-crev,crev-dev,/crev-dev/cargo-crev,/crev-dev,1500.0
reviewboard,reviewboard,/reviewboard/reviewboard,/reviewboard,1400.0
code-review-tips,ryanmcdermott,/ryanmcdermott/code-review-tips,/ryanmcdermott,1100.0
python_sec,bit4woo,/bit4woo/python_sec,/bit4woo,1100.0
java-concurrency,code-review-checklists,/code-review-checklists/java-concurrency,/code-review-checklists,1000.0
CodeAnalysis,Tencent,/Tencent/CodeAnalysis,/Tencent,98000.0
Audit-Learning,jiangsir404,/jiangsir404/Audit-Learning,/jiangsir404,82000.0
codestream,TeamCodeStream,/TeamCodeStream/codestream,/TeamCodeStream,73000.0
enlightn,enlightn,/enlightn/enlightn,/enlightn,61000.0
policy-bot,palantir,/palantir/policy-bot,/palantir,45000.0
cpp-project,bsamseth,/bsamseth/cpp-project,/bsamseth,44000.0
gerrit-intellij-plugin,uwolfer,/uwolfer/gerrit-intellij-plugin,/uwolfer,43000.0
diffr,mookid,/mookid/diffr,/mookid,41000.0
code-review-checklist,mgreiler,/mgreiler/code-review-checklist,/mgreiler,39000.0
Qodana,JetBrains,/JetBrains/Qodana,/JetBrains,34000.0
raptor,dpnishant,/dpnishant/raptor,/dpnishant,32000.0
static-review,sjparkinson,/sjparkinson/static-review,/sjparkinson,32000.0
shiba,burrito-brothers,/burrito-brothers/shiba,/burrito-brothers,28000.0
github-review,charignon,/charignon/github-review,/charignon,27000.0
code-review,wandersoncferreira,/wandersoncferreira/code-review,/wandersoncferreira,26000.0
