repo_name,repo_owner,repo_url,repo_owner_url,stars
localstack,localstack,/localstack/localstack,/localstack,38700.0
drone,harness,/harness/drone,/harness,24500.0
jenkins,jenkinsci,/jenkinsci/jenkins,/jenkinsci,18400.0
volkswagen,auchenberg,/auchenberg/volkswagen,/auchenberg,12200.0
origin,openshift,/openshift/origin,/openshift,8100.0
gocd,gocd,/gocd/gocd,/gocd,6400.0
concourse,concourse,/concourse/concourse,/concourse,6200.0
onedev,theonedev,/theonedev/onedev,/theonedev,5700.0
buildbot,buildbot,/buildbot/buildbot,/buildbot,4800.0
gaia,gaia-pipeline,/gaia-pipeline/gaia,/gaia-pipeline,4600.0
strider,Strider-CD,/Strider-CD/strider,/Strider-CD,4600.0
jx,jenkins-x,/jenkins-x/jx,/jenkins-x,4100.0
cds,ovh,/ovh/cds,/ovh,3700.0
xcpretty,xcpretty,/xcpretty/xcpretty,/xcpretty,3700.0
hygieia,hygieia,/hygieia/hygieia,/hygieia,3700.0
cake,cake-build,/cake-build/cake,/cake-build,3200.0
werf,werf,/werf/werf,/werf,2900.0
cml,iterative,/iterative/cml,/iterative,2900.0
awesome-ci,ligurio,/ligurio/awesome-ci,/ligurio,2800.0
github-pages-deploy-action,JamesIves,/JamesIves/github-pages-deploy-action,/JamesIves,2600.0
tox,tox-dev,/tox-dev/tox,/tox-dev,2600.0
ModernCppStarter,TheLartians,/TheLartians/ModernCppStarter,/TheLartians,2500.0
PHPCI,dancryer,/dancryer/PHPCI,/dancryer,2400.0
syncd,dreamans,/dreamans/syncd,/dreamans,2100.0
setup-php,shivammathur,/shivammathur/setup-php,/shivammathur,2000.0
hound,houndci,/houndci/hound,/houndci,1900.0
fabric8,fabric8io,/fabric8io/fabric8,/fabric8io,1800.0
lastbackend,lastbackend,/lastbackend/lastbackend,/lastbackend,1500.0
flagsmith,Flagsmith,/Flagsmith/flagsmith,/Flagsmith,1400.0
nuke,nuke-build,/nuke-build/nuke,/nuke-build,1400.0
