Title,Price,Link
1972 Playboy Magazine in Mint Condition,$35,https://newyork.craigslist.org/mnh/bks/d/new-york-1972-playboy-magazine-in-mint/7438902884.html
Set of 9 Comic Series Larson/Breathed/Amerongen/Peters,$15,https://newyork.craigslist.org/mnh/bks/d/new-york-city-set-of-comic-series/7445569365.html
Earl Prolux's: Make it Last and  Yankee Home Hints,$6,https://newyork.craigslist.org/mnh/bks/d/new-york-city-earl-proluxs-make-it-last/7445568037.html
Earl Prolux's: Make it Last and  Yankee Home Hints,$6,https://newyork.craigslist.org/mnh/bks/d/new-york-city-earl-proluxs-make-it-last/7445567733.html
Joanna Gaines Home Body design BOOK,$10,https://newyork.craigslist.org/fct/bks/d/trumbull-joanna-gaines-home-body-design/7443233329.html
Darryl Carter hardcover design BOOK,$10,https://newyork.craigslist.org/fct/bks/d/trumbull-darryl-carter-hardcover-design/7443233292.html
Set of Home Design Architecture BOOKS - great condition,$15,https://newyork.craigslist.org/fct/bks/d/trumbull-set-of-home-design/7443233259.html
Earl Prolux's: Make it Last and  Yankee Home Hints,$6,https://newyork.craigslist.org/mnh/bks/d/new-york-city-earl-proluxs-make-it-last/7445566979.html
The Great War on Gravure,,https://newyork.craigslist.org/brk/bks/d/brooklyn-the-great-war-on-gravure/7445565620.html
The Russo-Japanese War,,https://newyork.craigslist.org/brk/bks/d/brooklyn-the-russo-japanese-war/7445565362.html
"Best Seller ""Youtube Secrets"" by Sean Cannell and Benji Travis Book",$10,https://newyork.craigslist.org/brx/bks/d/bronx-best-seller-youtube-secrets-by/7445565329.html
2020 Federal Criminal Code and Rules Paperback,$15,https://newyork.craigslist.org/mnh/bks/d/new-york-2020-federal-criminal-code-and/7441263324.html
Foolproof Chinese Cooking by Ken Hom,$25,https://newyork.craigslist.org/wch/bks/d/tuckahoe-foolproof-chinese-cooking-by/7435568151.html
"‘The Vegetarian Option, by Simon Hopkinson (Hardcover)",$10,https://newyork.craigslist.org/mnh/bks/d/new-york-the-vegetarian-option-by-simon/7445562098.html
"Write Well Now: Six Keys to Greater Clarity, 2nd Edition",$10,https://newyork.craigslist.org/brx/bks/d/bronx-write-well-now-six-keys-to/7445560772.html
'Qualitative Researching' Textbook by Jennifer Mason,$20,https://newyork.craigslist.org/mnh/bks/d/new-york-qualitative-researching/7442089614.html
Blue Rigger HDMI Cable with Ethernet [New Condition],$10,https://newyork.craigslist.org/mnh/bks/d/new-york-blue-rigger-hdmi-cable-with/7438072014.html
Financial Accounting Textbook by Robert Libby (7th Edition),$20,https://newyork.craigslist.org/mnh/bks/d/new-york-financial-accounting-textbook/7445558308.html
Provence The Beautiful Cookbook by Richard Olney,$30,https://newyork.craigslist.org/wch/bks/d/yonkers-provence-the-beautiful-cookbook/7434836169.html
$15B_Korean language study book for Russian speaker,$15,https://newyork.craigslist.org/mnh/bks/d/new-york-city-15bkorean-language-study/7444717896.html
Israel Through My Lens by David Rubinger. First Edition hardcover.,$35,https://newyork.craigslist.org/wch/bks/d/tuckahoe-israel-through-my-lens-by/7437088881.html
THE FORBIDDEN COAST: THE STORY OF A JOURNEY TO RIO DE ORO,$5,https://newyork.craigslist.org/mnh/bks/d/the-forbidden-coast-the-story-of/7445555703.html
"Remembrance and Light: Images of Martha's Vineyard Hough, Henry Beetle",$5,https://newyork.craigslist.org/mnh/bks/d/new-york-city-remembrance-and-light/7445555980.html
Jupiter by  Seymour Simon 1985 Images,$5,https://newyork.craigslist.org/mnh/bks/d/new-york-city-jupiter-by-seymour-simon/7445555312.html
"Russian Book "" History of Hypnotism""",$7,https://newyork.craigslist.org/mnh/bks/d/new-york-city-russian-book-history-of/7445555059.html
"Look to the Hills Krantz, Hazel",$10,https://newyork.craigslist.org/mnh/bks/d/new-york-look-to-the-hills-krantz-hazel/7445554811.html
1990 Harvard Alumni Directory,$20,https://newyork.craigslist.org/wch/bks/d/tuckahoe-1990-harvard-alumni-directory/7433950684.html
Signed John Major Autobiography 1st Edition,$10,https://newyork.craigslist.org/wch/bks/d/tuckahoe-signed-john-major/7433943595.html
various literature books,$1,https://newyork.craigslist.org/mnh/bks/d/new-york-various-literature-books/7436605176.html
Travel books - spanish italian german and Belgium,$5,https://newyork.craigslist.org/mnh/bks/d/new-york-travel-books-spanish-italian/7434679416.html
Vintage International : The Information by Martin Amis,$5,https://newyork.craigslist.org/mnh/bks/d/new-york-vintage-international-the/7445549918.html
"Signing Naturally: Student Workbook, Units 1-6  Retails $100",$50,https://newyork.craigslist.org/mnh/bks/d/new-york-signing-naturally-student/7445549640.html
The Invisible Bridge by Julie Orringer,$5,https://newyork.craigslist.org/mnh/bks/d/new-york-the-invisible-bridge-by-julie/7445549440.html
Feminine psychology Karen Horney First Edition 1967,$9,https://newyork.craigslist.org/mnh/bks/d/new-york-feminine-psychology-karen/7436595102.html
Vitamix Create Hard Cover Recipe Book,$10,https://newyork.craigslist.org/mnh/bks/d/new-york-vitamix-create-hard-cover/7445549181.html
The manual of cultivated orchids,$10,https://newyork.craigslist.org/que/bks/d/richmond-hill-the-manual-of-cultivated/7434419135.html
Learn Golf in a Weekend,$24,https://newyork.craigslist.org/mnh/bks/d/new-york-learn-golf-in-weekend/7445545395.html
Sports Illustrated Lot Of 5,$45,https://newyork.craigslist.org/brk/bks/d/brooklyn-sports-illustrated-lot-of/7441177202.html
HBR Classics Boxed Set (16 Books),$135,https://newyork.craigslist.org/que/bks/d/fresh-meadows-hbr-classics-boxed-set-16/7437811586.html
Monumental Journey Brand New Textbook,,https://newyork.craigslist.org/que/bks/d/middle-village-monumental-journey-brand/7433917465.html
She Said Breaking the Sexual Harrassment Story,$15,https://newyork.craigslist.org/que/bks/d/middle-village-she-said-breaking-the/7436478754.html
"Children's Books, Delightful, Like New",,https://newyork.craigslist.org/que/bks/d/floral-park-childrens-books-delightful/7433547001.html
The Psychology of Human Sexuality Textbook,,https://newyork.craigslist.org/que/bks/d/floral-park-the-psychology-of-human/7433546650.html
BMW 320i SHOP MANUAL SERVICE REPAIR BOOK HAYNES,$9,https://newyork.craigslist.org/lgi/bks/d/franklin-square-bmw-320i-shop-manual/7444552270.html
GM A-body platform Factory Service Manual,$40,https://newyork.craigslist.org/brk/bks/d/brooklyn-gm-body-platform-factory/7444576117.html
Soldier's Manual Of Common Tasks - October 1994 - Army Military Book,$5,https://newyork.craigslist.org/brk/bks/d/brooklyn-soldiers-manual-of-common/7443610612.html
X-Men #94 CGC graded 7.5 Comic Book,"$1,500",https://newyork.craigslist.org/mnh/bks/d/new-york-men-94-cgc-graded-75-comic-book/7445525536.html
Beyond the Western Sea Books I and II by Avi,$4,https://newyork.craigslist.org/mnh/bks/d/new-york-beyond-the-western-sea-books/7445522172.html
The Last of the Really Great Whangdoodles by Julie Andrews,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-the-last-of-the-really-great/7445522039.html
IGGY PECK ARCHITECT + ROSIE REVERE ENGINEER (NEW!),$15,https://newyork.craigslist.org/mnh/bks/d/new-york-iggy-peck-architect-rosie/7440651151.html
Buck Rogers Collected Works,$30,https://newyork.craigslist.org/que/bks/d/buck-rogers-collected-works/7439841743.html
"Options, Futures… book",$25,https://newyork.craigslist.org/mnh/bks/d/new-york-options-futures-book/7439819607.html
STIGUM’s - The Money market,$25,https://newyork.craigslist.org/mnh/bks/d/new-york-stigums-the-money-market/7439819557.html
"Options, Futures… book",$25,https://newyork.craigslist.org/mnh/bks/d/new-york-options-futures-book/7438615664.html
"Options, Futures… book",$25,https://newyork.craigslist.org/mnh/bks/d/new-york-options-futures-book/7438191529.html
~~ CHILDRENS BOOKS #4~~,,https://newyork.craigslist.org/lgi/bks/d/childrens-books/7440689648.html
Rodzina by Karen Cushman,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-rodzina-by-karen-cushman/7445509808.html
~~ TOM CLANCY BOOKS ~~,$0,https://newyork.craigslist.org/lgi/bks/d/tom-clancy-books/7433161207.html
Lot of old  books,$100,https://newyork.craigslist.org/brx/bks/d/bronx-lot-of-old-books/7445509742.html
The Cat Ate My Gymsuit by Paula Danziger,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-the-cat-ate-my-gymsuit-by/7445509686.html
6 Copies of DECIBEL Magazine (Heavy Metal) all for $25,$25,https://newyork.craigslist.org/brk/bks/d/brooklyn-copies-of-decibel-magazine/7434069311.html
Little Men by Louisa M Alcott,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-little-men-by-louisa-alcott/7445509517.html
The Illustrated History of Science Fiction,$5,https://newyork.craigslist.org/brk/bks/d/brooklyn-the-illustrated-history-of/7433566889.html
Moonlight Becomes You by Mary Higgins Clark,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-moonlight-becomes-you-by-mary/7445509419.html
"Manual para Proclamadores de la Palabra 2013, 2016, 2017, 2018",,https://newyork.craigslist.org/brk/bks/d/brooklyn-manual-para-proclamadores-de/7442677087.html
"Architect, Architectural and Interior Design Magazine Collection",$1,https://newyork.craigslist.org/brk/bks/d/brooklyn-architect-architectural-and/7442677156.html
Introductory Statistics Third Edition by Prem S. Mann,$15,https://newyork.craigslist.org/brk/bks/d/brooklyn-introductory-statistics-third/7438956557.html
Complete Twain - 24 Volume Set,$150,https://newyork.craigslist.org/fct/bks/d/wilton-complete-twain-24-volume-set/7440761715.html
Vintage children books,$20,https://newyork.craigslist.org/mnh/bks/d/new-york-vintage-children-books/7444273126.html
HENRI MATISSE: A RETROSPECTIVE---TOTALLY UNUSED COPY,$25,https://newyork.craigslist.org/que/bks/d/henri-matisse-retrospective-totally/7436098122.html
DIAMOND DOTZ  INDIAN LADY ART  (ART),$15,https://newyork.craigslist.org/brx/bks/d/diamond-dotz-indian-lady-art-art/7438458977.html
LIFE Magazine Audrey Hepburn,$20,https://newyork.craigslist.org/que/bks/d/bayside-life-magazine-audrey-hepburn/7439079088.html
Charlotte’s Web and Stuart Little,$25,https://newyork.craigslist.org/mnh/bks/d/new-york-charlottes-web-and-stuart/7436768489.html
Joy of Cooking:  All About Series (4),$8,https://newyork.craigslist.org/mnh/bks/d/new-york-joy-of-cooking-all-about/7443120004.html
1901 Newspaper Article on Transwoman in Maine,$145,https://newyork.craigslist.org/mnh/bks/d/new-york-1901-newspaper-article-on/7439929885.html
VINTAGE MALE MODEL MAGAZINE 1957,$140,https://newyork.craigslist.org/mnh/bks/d/new-york-vintage-male-model-magazine/7437300474.html
Cole Ambition and Imagination,$285,https://newyork.craigslist.org/mnh/bks/d/new-york-cole-ambition-and-imagination/7436112442.html
1975 Madison High School Year Book ~ Alembic,$75,https://newyork.craigslist.org/mnh/bks/d/new-york-city-1975-madison-high-school/7439929378.html
No Place Like Home by Mary Higgins Clark,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-no-place-like-home-by-mary/7445497108.html
Weep No More My Lady by Mary Higgins Clark,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-weep-no-more-my-lady-by-mary/7445496700.html
A Stranger is Watching by Mary Higgins Clark,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-stranger-is-watching-by-mary/7445496549.html
Where Are the Children by Mary Higgins Clark,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-where-are-the-children-by-mary/7445496443.html
Before I Say Goodbye by Mary Higgins Clark,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-before-say-goodbye-by-mary/7445493216.html
The Cradle Will Fall by Mary Higgins Clark,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-the-cradle-will-fall-by-mary/7445492975.html
National Geographic Picture Atlas of Our Fifty States,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-national-geographic-picture/7445492564.html
The Enigma of Sunspots by Judit Brody,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-the-enigma-of-sunspots-by/7445489952.html
A Separate Peace by John Knowles,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-separate-peace-by-john-knowles/7445489848.html
RENOIR Life and Works purchased in National Gallery London,$10,https://newyork.craigslist.org/que/bks/d/bayside-renoir-life-and-works-purchased/7441546552.html
The Story Of Painting,$10,https://newyork.craigslist.org/que/bks/d/great-neck-the-story-of-painting/7436629424.html
Idiot's Guides: U. S. Government and Politics,$15,https://newyork.craigslist.org/brk/bks/d/brooklyn-idiots-guides-s-government-and/7436190119.html
The Films of Charlie Chaplin,$20,https://newyork.craigslist.org/que/bks/d/bayside-the-films-of-charlie-chaplin/7437635501.html
The Films of Charlie Chaplin,$20,https://newyork.craigslist.org/que/bks/d/bayside-the-films-of-charlie-chaplin/7434017583.html
BUTTER FLY FRAMED ART IS BRAND NEW,$15,https://newyork.craigslist.org/brx/bks/d/bronx-butter-fly-framed-art-is-brand-new/7444618004.html
BUTTER FLY FRAMED ART IS BRAND NEW,$15,https://newyork.craigslist.org/brx/bks/d/bronx-butter-fly-framed-art-is-brand-new/7441145634.html
LIFE Magazine Audrey Hepburn,$20,https://newyork.craigslist.org/que/bks/d/bayside-life-magazine-audrey-hepburn/7438096378.html
Audrey Hepburn An Elegant Spirit,$20,https://newyork.craigslist.org/que/bks/d/bayside-audrey-hepburn-an-elegant-spirit/7444583475.html
The Films of Charlie Chaplin,$20,https://newyork.craigslist.org/que/bks/d/bayside-the-films-of-charlie-chaplin/7444584499.html
HENRI MATISSE: A RETROSPECTIVE---TOTALLY UNUSED COPY,$25,https://newyork.craigslist.org/que/bks/d/henri-matisse-retrospective-totally/7444589608.html
34 Issues of Architect Magazine,$250,https://newyork.craigslist.org/brk/bks/d/brooklyn-34-issues-of-architect-magazine/7445482598.html
PRAGUE travel books---current dates,$0,https://newyork.craigslist.org/que/bks/d/bayside-prague-travel-books-current/7439175699.html
LIFE Magazine Audrey Hepburn,$20,https://newyork.craigslist.org/que/bks/d/bayside-life-magazine-audrey-hepburn/7440510790.html
THE PARADE COOKBOOK--HARDCOVERED,,https://newyork.craigslist.org/que/bks/d/the-parade-cookbook-hardcovered/7436519753.html
Vintage Abercrombie and Fitch Co Catalog,$39,https://newyork.craigslist.org/que/bks/d/astoria-vintage-abercrombie-and-fitch/7445480734.html
Plain English for Lawyers (5th edition),$15,https://newyork.craigslist.org/mnh/bks/d/new-york-plain-english-for-lawyers-5th/7444446608.html
4 Faulker Paperbacks unread,$8,https://newyork.craigslist.org/brk/bks/d/brooklyn-faulker-paperbacks-unread/7445480113.html
26 Issues of Metropolis Architecture Magazine,$125,https://newyork.craigslist.org/brk/bks/d/brooklyn-26-issues-of-metropolis/7445480000.html
Vintage Tiffany & Co. Vitello Calf Leather Bound,$225,https://newyork.craigslist.org/mnh/bks/d/tarrytown-vintage-tiffany-co-vitello/7445479538.html
"People of Corn, a Mayan Story",$15,https://newyork.craigslist.org/que/bks/d/bayside-people-of-corn-mayan-story/7439073838.html
Collier's Encyclopedia 24 Volumes,$200,https://newyork.craigslist.org/mnh/bks/d/new-york-city-colliers-encyclopedia-24/7442624774.html
LEARNING FUNCTIONAL WORDS & PHRASES FOR EVERYDAY LIVING,,https://newyork.craigslist.org/que/bks/d/learning-functional-words-phrases-for/7442421532.html
NicholasWinton's Lottery of Life,$5,https://newyork.craigslist.org/que/bks/d/bayside-nicholaswintons-lottery-of-life/7441832986.html
Tell All NYPD Auto Theft Book,$0,https://newyork.craigslist.org/mnh/bks/d/new-york-tell-all-nypd-auto-theft-book/7445476736.html
Glorious Crossstitch,$2,https://newyork.craigslist.org/mnh/bks/d/new-york-glorious-crossstitch/7445475814.html
"OPEN AGAIN SUN, FEB 13TH🌞**BOOKS 📚 & RECORDS💿** >> MASKS REQUIRED",$0,https://newyork.craigslist.org/lgi/bks/d/valley-stream-open-again-sun-feb/7439495158.html
"Art, history, cooking books",$10,https://newyork.craigslist.org/brk/bks/d/brooklyn-art-history-cooking-books/7441307942.html
Hardcovered—see titles in descriptiom,$3,https://newyork.craigslist.org/que/bks/d/bayside-hardcoveredsee-titles-in-de-iom/7438826389.html
Audrey Hepburn An Elegant Spirit,$20,https://newyork.craigslist.org/que/bks/d/bayside-audrey-hepburn-an-elegant-spirit/7437647556.html
The Films of Charlie Chaplin,$20,https://newyork.craigslist.org/que/bks/d/bayside-the-films-of-charlie-chaplin/7439079190.html
X-Men XMEN Legacy #253 2011 Marvel Comics Comic Book Carey Pham Palmer,$20,https://newyork.craigslist.org/que/bks/d/woodside-men-xmen-legacy-marvel-comics/7439510368.html
Cookbooks (10),$1,https://newyork.craigslist.org/mnh/bks/d/new-york-cookbooks-10/7444573220.html
