Title,Price,Link
Mini Van,"$6,500",https://newyork.craigslist.org/brx/cto/d/bronx-mini-van/7445571770.html
Incredible 2005 Volvo S40 T5 - 68k Miles - Elderly Owned Estate Car,$0,https://newyork.craigslist.org/fct/cto/d/norwalk-incredible-2005-volvo-s40-t5/7445570839.html
2014 ford fusion,"$10,000",https://newyork.craigslist.org/que/cto/d/astoria-2014-ford-fusion/7445570836.html
"2009 NISSAN MAXIMA SL,NAVIGATION","$5,850",https://newyork.craigslist.org/que/cto/d/corona-2009-nissan-maxima-slnavigation/7445567509.html
Pink Diamond Party Bus - New Engine! Many New Parts!,"$40,000",https://newyork.craigslist.org/mnh/cto/d/new-york-pink-diamond-party-bus-new/7445567431.html
2004 Honda Accord Sedan LX Low miles,"$3,500",https://newyork.craigslist.org/brk/cto/d/brooklyn-2004-honda-accord-sedan-lx-low/7445565807.html
Ford Explorer XLT Sport Utility 4D,"$6,200",https://newyork.craigslist.org/lgi/cto/d/new-hyde-park-ford-explorer-xlt-sport/7445565732.html
2021 Mercedes-Benz G-Class G63 AMG 4MATIC  GUARANTEE APPROVAL!!,"$264,999",https://newyork.craigslist.org/brk/ctd/d/staten-island-2021-mercedes-benz-class/7445564081.html
2019 Nissan Rogue AWD,"$24,900",https://newyork.craigslist.org/stn/cto/d/staten-island-2019-nissan-rogue-awd/7445561977.html
2014 Subaru Forester 2.5i Limited,"$12,500",https://newyork.craigslist.org/brk/cto/d/brooklyn-2014-subaru-forester-25i/7445558791.html
Temp plates free delivery,$140,https://newyork.craigslist.org/brx/cto/d/brooklyn-temp-plates-free-delivery/7445558454.html
"*******2008 Chrysler/Dodge Caravan 3.8 Motor (Leather,Navi,TV,Dvd)***","$3,500",https://newyork.craigslist.org/brk/cto/d/newark-2008-chrysler-dodge-caravan-38/7445556614.html
2011 Lexus RX 350,"$15,995",https://newyork.craigslist.org/wch/cto/d/mount-vernon-2011-lexus-rx-350/7445555431.html
2011 Toyota Highlander SE,"$12,000",https://newyork.craigslist.org/brk/cto/d/brooklyn-2011-toyota-highlander-se/7445555374.html
2021 Toyota Tundra CrewMax SR5 Pickup 4D 5 1/2 ft pickup White -,"$47,990",https://newyork.craigslist.org/stn/ctd/d/staten-island-2021-toyota-tundra/7445554774.html
2020 Honda 2.0T,"$31,000",https://newyork.craigslist.org/lgi/cto/d/franklin-square-2020-honda-20t/7445552914.html
2011 Toyota RAV4 AWD,"$7,925",https://newyork.craigslist.org/brk/ctd/d/brooklyn-2011-toyota-rav4-awd/7445552400.html
2012 Acura RL Advance Pkg,"$13,000",https://newyork.craigslist.org/brk/cto/d/brooklyn-2012-acura-rl-advance-pkg/7445551557.html
2012 Honda Civic Hybrid-L EX-L 1 owner Loaded,"$5,990",https://newyork.craigslist.org/brk/ctd/d/brooklyn-2012-honda-civic-hybrid-ex-1/7445551496.html
2018 BMW 4 Series 430i 430 i 430-i xDrive,$383,https://newyork.craigslist.org/lgi/ctd/d/commack-2018-bmw-series-430i-430-430/7445550354.html
