Title,Price,Link
SAMSUM Galaxy Buds Pro,$120,https://newyork.craigslist.org/mnh/ele/d/new-york-samsum-galaxy-buds-pro/7433617218.html
"10.5"" Open Reel Tapes with Soft Rock",$70,https://newyork.craigslist.org/wch/ele/d/thornwood-105-open-reel-tapes-with-soft/7433925955.html
Laser Discs,$9,https://newyork.craigslist.org/wch/ele/d/thornwood-laser-discs/7439288030.html
SONICWALL NSA 2400 Network Security Rackmount VPN Firewalls (Reset),$35,https://newyork.craigslist.org/brk/ele/d/brooklyn-sonicwall-nsa-2400-network/7440951116.html
TECHNICS RS & SB  Brochures,$25,https://newyork.craigslist.org/wch/ele/d/pleasantville-technics-rs-sb-brochures/7432931410.html
ZEKTOR HDS-4,$50,https://newyork.craigslist.org/wch/ele/d/pleasantville-zektor-hds/7437558666.html
Polaroid Mini 8 (Pink) With Film Included,$15,https://newyork.craigslist.org/mnh/ele/d/new-york-polaroid-mini-pink-with-film/7445571159.html
Nice newer type of Nintendo switch im selling,$80,https://newyork.craigslist.org/jsy/ele/d/newark-nice-newer-type-of-nintendo/7440873223.html
Massage Gun,$40,https://newyork.craigslist.org/que/ele/d/brooklyn-massage-gun/7445570963.html
Arealer Foot Spa Bath Massager with Automatic Foot Massage Rollers,$55,https://newyork.craigslist.org/mnh/ele/d/new-york-arealer-foot-spa-bath-massager/7445570943.html
Xbox one x I am selling,$60,https://newyork.craigslist.org/jsy/ele/d/newark-xbox-one-i-am-selling/7441355188.html
Roland Amplifier SRA-260,$250,https://newyork.craigslist.org/wch/ele/d/thornwood-roland-amplifier-sra-260/7444458903.html
Amazon Kindle (Model D01100 4th Generation 2GB Wi-Fi 6 inch eBook Read,$30,https://newyork.craigslist.org/mnh/ele/d/new-york-amazon-kindle-model-th/7445570603.html
Sunbeam Oskar Original Food Processor,$80,https://newyork.craigslist.org/mnh/ele/d/new-york-sunbeam-oskar-original-food/7433012883.html
"Fire 7 tablet, 7"" display, 16 GB, Black",$35,https://newyork.craigslist.org/mnh/ele/d/new-york-fire-tablet-display-16-gb-black/7445570499.html
"Sony sound bar, model # SA-CT780 with Sony subwoofer, model # SA-WCT780 - great",,https://newyork.craigslist.org/brk/ele/d/brooklyn-sony-sound-bar-model-sa-ct780/7439801248.html
Canon AE1 Film Camera W/ 28mm Lens,$200,https://newyork.craigslist.org/mnh/ele/d/new-york-canon-ae1-film-camera-28mm-lens/7434387386.html
Nikon S. Film Tank & Reels (35mm & 120),$40,https://newyork.craigslist.org/mnh/ele/d/new-york-nikon-film-tank-reels-35mm-120/7434387319.html
Canon AE1 Film Camera W/ 28mm Lens,$220,https://newyork.craigslist.org/mnh/ele/d/new-york-canon-ae1-film-camera-28mm-lens/7434387012.html
Horseman Roll Film Back 6X9,$100,https://newyork.craigslist.org/mnh/ele/d/new-york-horseman-roll-film-back-6x9/7434387139.html
Aroma Digital Rice Cooker,$35,https://newyork.craigslist.org/mnh/ele/d/new-york-aroma-digital-rice-cooker/7445568984.html
Cordless Hair Clipper,$30,https://newyork.craigslist.org/que/ele/d/brooklyn-cordless-hair-clipper/7445568757.html
Security Camera Outdoor,$50,https://newyork.craigslist.org/que/ele/d/brooklyn-security-camera-outdoor/7445568666.html
Steam Controller,$1,https://newyork.craigslist.org/que/ele/d/jamaica-steam-controller/7445568577.html
Ear Wax Removal,$25,https://newyork.craigslist.org/que/ele/d/brooklyn-ear-wax-removal/7434265471.html
Dash Cam,$95,https://newyork.craigslist.org/que/ele/d/brooklyn-dash-cam/7440107376.html
iPhone Charger cable,$15,https://newyork.craigslist.org/que/ele/d/brooklyn-iphone-charger-cable/7438153718.html
Hair Clippers for Men,$20,https://newyork.craigslist.org/que/ele/d/brooklyn-hair-clippers-for-men/7439394783.html
LED Grow Light,$30,https://newyork.craigslist.org/que/ele/d/brooklyn-led-grow-light/7442282007.html
Alarm Clock Smart,$30,https://newyork.craigslist.org/que/ele/d/brooklyn-alarm-clock-smart/7440118990.html
Logitech Multimedia Speakers Z200,$50,https://newyork.craigslist.org/brx/ele/d/new-york-logitech-multimedia-speakers/7443104720.html
Samsung 40-Inch TV,$300,https://newyork.craigslist.org/mnh/ele/d/new-york-samsung-40-inch-tv/7443104837.html
Apple Watch Series 6 44mm GPS Cellular Graphite,$320,https://newyork.craigslist.org/mnh/ele/d/new-york-apple-watch-series-44mm-gps/7445567369.html
ELECTRONIC TUBES,$150,https://newyork.craigslist.org/stn/ele/d/staten-island-electronic-tubes/7440278996.html
Outdoor Solar Deck Lights,$30,https://newyork.craigslist.org/brk/ele/d/brooklyn-outdoor-solar-deck-lights/7442475802.html
"SONY PlayStation 2, 2 SONY Controllers, HDD Ethernet Network Adapter",$159,https://newyork.craigslist.org/que/ele/d/ridgewood-sony-playstation-2-sony/7442921515.html
Brand new Converse powerbank,,https://newyork.craigslist.org/mnh/ele/d/new-york-brand-new-converse-powerbank/7436801547.html
Apple Keyboard with Numeric Keypad - English,$41,https://newyork.craigslist.org/que/ele/d/ridgewood-apple-keyboard-with-numeric/7443843299.html
Apple Wired Keyboard with Numeric Keypad,$29,https://newyork.craigslist.org/que/ele/d/ridgewood-apple-wired-keyboard-with/7443842886.html
