Title,Price,Link
Rare Verner Panton S Chairs by Herman Miller mid century modern eames,$700,https://newyork.craigslist.org/brk/fuo/d/brooklyn-rare-verner-panton-chairs-by/7442853304.html
Faux Rabbit Fur Rug,$250,https://newyork.craigslist.org/mnh/fuo/d/new-york-faux-rabbit-fur-rug/7439120059.html
Chest of Drawers,$280,https://newyork.craigslist.org/mnh/fuo/d/new-york-chest-of-drawers/7441762974.html
Jorge Ferrari-Hardoy Butterfly Lounge Chair Knoll Mid Century Modern,$600,https://newyork.craigslist.org/brk/fuo/d/brooklyn-jorge-ferrari-hardoy-butterfly/7445572781.html
White and Gold Stools,$60,https://newyork.craigslist.org/que/fuo/d/astoria-white-and-gold-stools/7445571534.html
Floor Mirror,$520,https://newyork.craigslist.org/mnh/fuo/d/new-york-floor-mirror/7439194307.html
"Eero Saarinen 42"" Tulip Round Dining Table for Knoll mid century mod","$1,500",https://newyork.craigslist.org/brk/fuo/d/brooklyn-eero-saarinen-42-tulip-round/7444261297.html
Teal Velvet Chair,$160,https://newyork.craigslist.org/brk/fuo/d/brooklyn-teal-velvet-chair/7445572564.html
Silver Mirror Vanity table / Console Table,$390,https://newyork.craigslist.org/mnh/fuo/d/new-york-silver-mirror-vanity-table/7439171742.html
White metal storage/display rack,$60,https://newyork.craigslist.org/brk/fuo/d/brooklyn-white-metal-storage-display/7445572476.html
dining table for sale,$520,https://newyork.craigslist.org/mnh/fuo/d/new-york-dining-table-for-sale/7440802396.html
KING SIZE Mattress Adjustable Base,"$2,000",https://newyork.craigslist.org/mnh/fuo/d/new-york-king-size-mattress-adjustable/7444744124.html
Stylish Lamp Night Light - LIKE NEW,$5,https://newyork.craigslist.org/brk/fuo/d/brooklyn-stylish-lamp-night-light-like/7444694044.html
Crate & Barrel Rectangular Danish Wood Dining Table,$250,https://newyork.craigslist.org/brk/fuo/d/brooklyn-crate-barrel-rectangular/7445572084.html
Round Coffee Table for Sale,$100,https://newyork.craigslist.org/brk/fuo/d/brooklyn-round-coffee-table-for-sale/7443363167.html
Desk for Sale,$100,https://newyork.craigslist.org/brk/fuo/d/brooklyn-desk-for-sale/7444518386.html
Queen Size Bed Frame,$100,https://newyork.craigslist.org/mnh/fuo/d/new-york-queen-size-bed-frame/7445571944.html
Ralph Lauren Black Lacquer Commode,"$1,500",https://newyork.craigslist.org/mnh/fuo/d/astoria-ralph-lauren-black-lacquer/7443655372.html
1950s Queen Anne Wingback Chair,$1,https://newyork.craigslist.org/lgi/fuo/d/franklin-square-1950s-queen-anne/7445571538.html
Barbara Barry for Baker Furniture - Two-Tier Center Table - Mahogany,"$1,100",https://newyork.craigslist.org/wch/fuo/d/white-plains-barbara-barry-for-baker/7437923551.html
Vintage B9 209 bentwood cane chair,$250,https://newyork.craigslist.org/brk/fuo/d/brooklyn-vintage-b9-209-bentwood-cane/7444208488.html
Barbara Barry for Baker Furniture - Two-Tier Center Table - Mahogany,"$1,000",https://newyork.craigslist.org/wch/fuo/d/white-plains-barbara-barry-for-baker/7437922977.html
