Title,Price,Link
Men’s Fossil watch - Roman numeral,$50,https://newyork.craigslist.org/mnh/jwl/d/new-york-mens-fossil-watch-roman-numeral/7433378522.html
Handcrafted Etched Copper Bracelet,$50,https://newyork.craigslist.org/mnh/jwl/d/new-york-handcrafted-etched-copper/7445569213.html
Diamond Engagement Rings,,https://newyork.craigslist.org/wch/jwl/d/patterson-diamond-engagement-rings/7437430939.html
Skagen Ladies Watches,$50,https://newyork.craigslist.org/lgi/jwl/d/melville-skagen-ladies-watches/7444391392.html
Freshwater pearls sterling 925 necklace by Gilt. NWOT.,$250,https://newyork.craigslist.org/wch/jwl/d/tuckahoe-freshwater-pearls-sterling-925/7442423614.html
Solina Women’s Watch,$80,https://newyork.craigslist.org/mnh/jwl/d/new-york-solina-womens-watch/7438444630.html
BAUME & MERCIER 18k GENTS  AUTOMATIC watch with 18k GOLD  BRACELET,$0,https://newyork.craigslist.org/mnh/jwl/d/brooklyn-baume-mercier-18k-gents/7438425448.html
Swarovski Graceful CRY/ROS Necklace - Rose Gold - 5294867-1 BRAND NEW,$99,https://newyork.craigslist.org/brk/jwl/d/brooklyn-swarovski-graceful-cry-ros/7435072790.html
"MAGNETIC DOOR LOCK KIT, 600lb, buzzer, remote control, no touch Exit B",$185,https://newyork.craigslist.org/que/jwl/d/newark-magnetic-door-lock-kit-600lb/7438021823.html
"MAGNETIC DOOR LOCK KIT, 600lb, buzzer, remote control, no touch Exit B",$185,https://newyork.craigslist.org/que/jwl/d/newark-magnetic-door-lock-kit-600lb/7438013676.html
Vintage emerald and diamond costume clip-on earrings. Circa 1970.,$90,https://newyork.craigslist.org/wch/jwl/d/yonkers-vintage-emerald-and-diamond/7435335787.html
American Indian beaded bracelet,$35,https://newyork.craigslist.org/que/jwl/d/richmond-hill-american-indian-beaded/7445550285.html
925 Silver Bracelet/Solid Heart,$40,https://newyork.craigslist.org/mnh/jwl/d/new-york-925-silver-bracelet-solid-heart/7445548653.html
Rolex Datejust Men's 36mm with diamonds,$0,https://newyork.craigslist.org/mnh/jwl/d/new-york-rolex-datejust-mens-36mm-with/7434965914.html
Tudor 18k/Steel ladies watch,"$1,500",https://newyork.craigslist.org/mnh/jwl/d/new-york-tudor-18k-steel-ladies-watch/7434072977.html
