Title,Price,Link
Galaxy S 21 for T-Mobile carrier pristine condition,$450,https://newyork.craigslist.org/brk/mob/d/brooklyn-galaxy-21-for-mobile-carrier/7439767687.html
Z flip 3 5G unlocked for any carrier,$750,https://newyork.craigslist.org/brk/mob/d/brooklyn-flip-5g-unlocked-for-any/7439800723.html
iPhone 13 with 128g unlocked for any carrier pristine condition,$700,https://newyork.craigslist.org/mnh/mob/d/brooklyn-iphone-13-with-128g-unlocked/7442745599.html
New myCharge Portable Charger for iPhone Built in Cable Power Bank,$55,https://newyork.craigslist.org/mnh/mob/d/new-york-new-mycharge-portable-charger/7445570735.html
iPhone 12 Pro,,https://newyork.craigslist.org/brk/mob/d/brooklyn-iphone-12-pro/7445567527.html
Brand new Smodo power bank 8000mAh,$20,https://newyork.craigslist.org/mnh/mob/d/new-york-brand-new-smodo-power-bank/7436809713.html
Brand new Mag Power Bank with Phone Stand,$20,https://newyork.craigslist.org/mnh/mob/d/new-york-brand-new-mag-power-bank-with/7436803969.html
Queens famous iPhones buyer,$0,https://newyork.craigslist.org/que/mob/d/new-york-queens-famous-iphones-buyer/7445560271.html
Factory =-=Apple iPhone 12 Pro Max 512 GB,$400,https://newyork.craigslist.org/brk/mob/d/new-york-factory-apple-iphone-12-pro/7445560064.html
Apple iPhone 8 64gb - Gold - Unlocked - mint,$229,https://newyork.craigslist.org/que/mob/d/astoria-apple-iphone-64gb-gold-unlocked/7439990737.html
4.7” Apple iPhone 6s 64gb - Silver - fast A9 cpu - unlocked - mint,$149,https://newyork.craigslist.org/que/mob/d/astoria-47-apple-iphone-6s-64gb-silver/7439990934.html
Samsung Galaxy S10e 128GB NEW,$350,https://newyork.craigslist.org/wch/mob/d/white-plains-samsung-galaxy-s10e-128gb/7445564209.html
iPhone SE 2020 NEW,$200,https://newyork.craigslist.org/wch/mob/d/white-plains-iphone-se-2020-new/7445564036.html
AT&T ZTE MF923 Velocity Hotspot 4G LTE WiFi Mobile,$40,https://newyork.craigslist.org/que/mob/d/queens-village-att-zte-mf923-velocity/7445563844.html
UNLOCKED SAMSUNG Galaxy S21 Ultra 5G Phantom Silver 512GB,$550,https://newyork.craigslist.org/mnh/mob/d/new-york-unlocked-samsung-galaxy-s21/7445549441.html
Queens famous iPhones buyer,$0,https://newyork.craigslist.org/que/mob/d/new-york-queens-famous-iphones-buyer/7445542088.html
eCandy Solid Aluminum Desktop Portable Phone Stand - Black - Like New,$8,https://newyork.craigslist.org/brk/mob/d/brooklyn-ecandy-solid-aluminum-desktop/7433021724.html
