Title,Price,Link
SUNDAY AUTO GLASS  & TINTING  BROOKLYN    (WHILE-U-WAIT) SINCE 1987,,https://newyork.craigslist.org/brk/pts/d/sunday-auto-glass-tinting-brooklyn/7440344205.html
Sport Utility Spoiler for Pickup Truck,$80,https://newyork.craigslist.org/wch/pts/d/white-plains-sport-utility-spoiler-for/7445571070.html
"Original Corvette Brochures 2007, 2008 , 2009",,https://newyork.craigslist.org/wch/pts/d/original-corvette-brochures/7436252470.html
BMW - M -mirror caps 5-6-7 series &M grills,$0,https://newyork.craigslist.org/lgi/pts/d/ridge-bmw-mirror-caps-series-grills/7445569505.html
ACURA MDX 2014-2020 PASSENGER SIDE INNER TAIL LIGHT,$149,https://newyork.craigslist.org/brk/pts/d/brooklyn-acura-mdx-passenger-side-inner/7445569376.html
Bmw parts,,https://newyork.craigslist.org/que/pts/d/ridge-bmw-parts/7444677661.html
dodge ram rim,"$1,300",https://newyork.craigslist.org/que/pts/d/far-rockaway-dodge-ram-rim/7445565889.html
Wiper Blades,$40,https://newyork.craigslist.org/que/pts/d/elmhurst-wiper-blades/7445565146.html
Toyota Camry 4 sale 2013,"$4,900",https://newyork.craigslist.org/brk/pts/d/brooklyn-toyota-camry-sale-2013/7443637060.html
WeatherTech Mats and Cargo Liner for Subaru Forester 2019,$125,https://newyork.craigslist.org/brk/pts/d/brooklyn-weathertech-mats-and-cargo/7445564111.html
Car Mats (Motor Trend) & Wiper blades,$50,https://newyork.craigslist.org/que/pts/d/elmhurst-car-mats-motor-trend-wiper/7445562644.html
Toyota Supra mk3 and mk4 parts for Sale,,https://newyork.craigslist.org/que/pts/d/south-ozone-park-toyota-supra-mk3-and/7435979728.html
No-Spill 1450 5-Gallon Poly Gas Can (CARB Compliant),$15,https://newyork.craigslist.org/mnh/pts/d/new-york-no-spill-gallon-poly-gas-can/7437542496.html
Dewalt 20v XR Grinder Flexvolt Advantage,$0,https://newyork.craigslist.org/que/pts/d/rego-park-dewalt-20v-xr-grinder/7433497591.html
a brand new Bucket Binder,$20,https://newyork.craigslist.org/mnh/pts/d/new-york-brand-new-bucket-binder/7437542420.html
Tuff Viking Convertible Large Trunk Organizer with Built-in Insulated,$30,https://newyork.craigslist.org/mnh/pts/d/new-york-tuff-viking-convertible-large/7437542568.html
2006 BMW 530XI AWD e60 for PARTS ~ Monaco Blue,$1,https://newyork.craigslist.org/lgi/pts/d/amityville-2006-bmw-530xi-awd-e60-for/7439470301.html
2008 INFINITI M35X M35 PARTING OUT!!,$1,https://newyork.craigslist.org/lgi/pts/d/massapequa-park-2008-infiniti-m35x-m35/7433138656.html
Dodge Grand Caravan BCM Body Control Module,,https://newyork.craigslist.org/lgi/pts/d/dodge-grand-caravan-bcm-body-control/7435350177.html
2002 Nissan Altima Parts Available,,https://newyork.craigslist.org/lgi/pts/d/2002-nissan-altima-parts-available/7440420469.html
2005 ACURA TL PART OUT ! ! ! !,,https://newyork.craigslist.org/lgi/pts/d/2005-acura-tl-part-out/7439470332.html
2006 Infiniti M35 RWD TRANSMISSION * Only 82k Miles *REDUCED PRICE*,$350,https://newyork.craigslist.org/lgi/pts/d/amityville-2006-infiniti-m35-rwd/7437946921.html
2012 Infiniti M37x Parting out,,https://newyork.craigslist.org/lgi/pts/d/amityville-2012-infiniti-m37x-parting/7439470365.html
2011-2019 TOYOTA SIENNA DOORS,$1,https://newyork.craigslist.org/brk/pts/d/brooklyn-toyota-sienna-doors/7445556071.html
2012-2014 TOYOTA CAMRY PARTS PASSENGER SIDE REAR DOOR PK UP WILLIAMSBU,$299,https://newyork.craigslist.org/brk/pts/d/brooklyn-toyota-camry-parts-passenger/7438474071.html
2013-2018 Toyota corrolla s trunklid with spoiler,$349,https://newyork.craigslist.org/brk/pts/d/brooklyn-toyota-corrolla-trunklid-with/7435705080.html
