Title,Price,Link
"Chloe 15"" vaccine Modern Ceiling covid Light Semi Card Flush Mount",$0,https://newyork.craigslist.org/mnh/sys/d/new-york-chloe-15-vaccine-modern/7445571819.html
"Monoprice SlimRun Cat6A Ethernet Network Patch Cable - Snagless RJ45,",$7,https://newyork.craigslist.org/mnh/sys/d/new-york-monoprice-slimrun-cat6a/7442629115.html
APPLE MACBOOK PRO intel i5 and 500GB drive,$425,https://newyork.craigslist.org/wch/sys/d/bronx-apple-macbook-pro-intel-i5-and/7442236293.html
APPLE MACBOOK LAPTOP EL CAPITAN 10.11 WITH MICROSOFT OFFICE 2011,$140,https://newyork.craigslist.org/wch/sys/d/yonkers-apple-macbook-laptop-el-capitan/7442236189.html
APPLE MACBOOK LAPTOP WITH MICROSOFT OFFICE 2011 INTEL DUAL CORE OS X,$120,https://newyork.craigslist.org/wch/sys/d/yonkers-apple-macbook-laptop-with/7442160349.html
Apple mini 2 32gb WiFi + Cellular-Retina display - Siri -A 7 cpu,$235,https://newyork.craigslist.org/que/sys/d/astoria-apple-mini-32gb-wifi-cellular/7439662649.html
9.7 Apple iPad Air 2 128gb WiFi /Cellular  A 8 cpu - works great!,$325,https://newyork.craigslist.org/que/sys/d/astoria-97-apple-ipad-air-128gb-wifi/7439662289.html
"Like New - Microsoft 15"" Multi-Touch Surface Laptop 4 (Platinum)","$1,400",https://newyork.craigslist.org/mnh/sys/d/new-york-like-new-microsoft-15-multi/7445562882.html
Naztech SmartPack Multi-Utility Travel Bag Backpack Laptop/Tablet,$96,https://newyork.craigslist.org/brk/sys/d/brooklyn-naztech-smartpack-multi/7436047465.html
eCandy Solid Aluminum Desktop Portable Phone Stand - Black - Like New,$8,https://newyork.craigslist.org/brk/sys/d/brooklyn-ecandy-solid-aluminum-desktop/7440622481.html
"Merece Laptop Stand for Desk, Ergonomic Portable Computer Stand",$36,https://newyork.craigslist.org/brk/sys/d/brooklyn-merece-laptop-stand-for-desk/7434138997.html
SOQOOL Ventilated Ergonomic Laptop Stand Riser - BRAND NEW,$39,https://newyork.craigslist.org/brk/sys/d/brooklyn-soqool-ventilated-ergonomic/7438934673.html
SOQOOL Ventilated Ergonomic Laptop Stand Riser - BRAND NEW,$39,https://newyork.craigslist.org/brk/sys/d/brooklyn-soqool-ventilated-ergonomic/7440624241.html
"HOYOKI 8-in-1 USB-C Hub with 4K HDMI, Ethernet, 100W PD Charger - NEW",$46,https://newyork.craigslist.org/brk/sys/d/brooklyn-hoyoki-in-usb-hub-with-4k-hdmi/7436416531.html
HP Pavilion 6K Desktop,$180,https://newyork.craigslist.org/mnh/sys/d/new-york-hp-pavilion-6k-desktop/7442738425.html
"HP Pavilion Compact Desktop (Quadcore, 8GB RAM, SSD, W10 64-bit)",$170,https://newyork.craigslist.org/mnh/sys/d/new-york-hp-pavilion-compact-desktop/7442739482.html
"Acer Aspire Desktop (Quadcore i5, 12GB RAM, W10 64-bit)",$180,https://newyork.craigslist.org/mnh/sys/d/new-york-acer-aspire-desktop-quadcore/7442089683.html
"[New Condition] Apple Macbook Air 13"" Laptop",$420,https://newyork.craigslist.org/mnh/sys/d/new-york-new-condition-apple-macbook/7442088205.html
"Lenovo ThinkPad L540 15.6"" Laptop (Mint!)",$240,https://newyork.craigslist.org/mnh/sys/d/new-york-lenovo-thinkpad-laptop-mint/7442087821.html
"Asus SilverStone Custom Desktop(Quadcore i5, 8GB RAM, 1TB, W10)",$180,https://newyork.craigslist.org/mnh/sys/d/new-york-asus-silverstone-custom/7442086338.html
"Custom Asus Desktop(Core i7 Quad, 64GB RAM, 3TB Drive + SSD, XL Ports)",$600,https://newyork.craigslist.org/mnh/sys/d/new-york-custom-asus-desktopcore-i7/7442087768.html
HP Xeon Workstation Desktop,$100,https://newyork.craigslist.org/mnh/sys/d/new-york-hp-xeon-workstation-desktop/7442086064.html
"HP Prodesk Slim Computer (i5 Quadcore, 16GB RAM, W10 Pro)",$360,https://newyork.craigslist.org/mnh/sys/d/new-york-hp-prodesk-slim-computer-i5/7442085950.html
Asus Desktop PC Combo,$170,https://newyork.craigslist.org/mnh/sys/d/new-york-asus-desktop-pc-combo/7440659489.html
MacBook Pro 2019 16inch MVVJ2LL/A,"$1,500",https://newyork.craigslist.org/que/sys/d/south-ozone-park-macbook-pro-inch/7435786876.html
"Late-2012 21.5"" Imac - 2.9 GHz I5 4 Cores 1TB",,https://newyork.craigslist.org/que/sys/d/sunnyside-late-imac-29-ghz-i5-cores-1tb/7445558453.html
HUANUO Standing Desk Converter Height Adjustable Standup Desktop Riser,$74,https://newyork.craigslist.org/brk/sys/d/brooklyn-huanuo-standing-desk-converter/7445558072.html
Canon PFI-102MBK I,$30,https://newyork.craigslist.org/mnh/sys/d/new-york-canon-pfi-102mbk/7437542642.html
VANMASS Aluminum USB C Hub 9-in-1 Adapter 4K HDMI RJ45 Gbps Ethernet,$49,https://newyork.craigslist.org/brk/sys/d/brooklyn-vanmass-aluminum-usb-hub-in/7445557374.html
"HUANUO Dual Monitor Stand Height Adjustable Monitor Mount 13"" to 27""",$74,https://newyork.craigslist.org/brk/sys/d/brooklyn-huanuo-dual-monitor-stand/7440958416.html
"NEW Replacement AC Adapter For Apple MacBook Pro A1184, A1330, A1344,",$24,https://newyork.craigslist.org/que/sys/d/ridgewood-new-replacement-ac-adapter/7443830780.html
MacBook Pro 2019 16inch MVVJ2LL/A,"$1,500",https://newyork.craigslist.org/que/sys/d/south-ozone-park-macbook-pro-inch/7444416830.html
Apple A1003 or A1070 12V iPod FireWire Power Adapter,$10,https://newyork.craigslist.org/que/sys/d/ridgewood-apple-a1003-or-v-ipod/7443811165.html
MacBook Pro 13 2020 For Sale,"$1,000",https://newyork.craigslist.org/brk/sys/d/brooklyn-macbook-pro-for-sale/7434110609.html
HP 24in All in One Computer Touchscreen  i5-1035G1 8GB 256GB Win10,$500,https://newyork.craigslist.org/brk/sys/d/brooklyn-hp-24in-all-in-one-computer/7443705411.html
"Lenovo T430 laptop Inteli5 CPU, w/o HD.",$169,https://newyork.craigslist.org/mnh/sys/d/new-york-lenovo-t430-laptop-inteli5-cpu/7445551883.html
"iMac Pro | 8-Core, 64 RAM, 1TB SSD, 8Gb Radeon Vega","$3,000",https://newyork.craigslist.org/brk/sys/d/brooklyn-imac-pro-core-64-ram-1tb-ssd/7445551530.html
"MacBook Pro 13"" i5 500GB",$300,https://newyork.craigslist.org/brk/sys/d/brooklyn-macbook-pro-13-i5-500gb/7445549617.html
ErGear Single Stand Adjustable Gas Spring Monitor Mount,$36,https://newyork.craigslist.org/brk/sys/d/brooklyn-ergear-single-stand-adjustable/7440958176.html
HUANUO AV Dual Monitor Mount Adjustable Gas Spring Desk Stand - SEALED,$59,https://newyork.craigslist.org/brk/sys/d/brooklyn-huanuo-av-dual-monitor-mount/7433326687.html
AUKEY Overview Full HD Video 1080p Webcam PC-LM1E - BRAND NEW,$43,https://newyork.craigslist.org/brk/sys/d/brooklyn-aukey-overview-full-hd-video/7433008480.html
"iMac 27"" Slim Intel Quad Core i5 3.2 GHz 8GB Ram 1TB OS Mojave",$390,https://newyork.craigslist.org/brk/sys/d/brooklyn-imac-27-slim-intel-quad-core/7445539250.html
ASUS P6T LGA 1366 Socket B Intel Motherboard Core i7-920 2.66GHZ Chip,$200,https://newyork.craigslist.org/que/sys/d/forest-hills-asus-p6t-lga-1366-socket/7437830275.html
SOQOOL Computer Stand Riser for Desk Ventilated Ergonomic Aluminum NEW,$28,https://newyork.craigslist.org/brk/sys/d/brooklyn-soqool-computer-stand-riser/7445538810.html
GUUKIN LED Computer Desk Lamp 14W 3 Color Modes 10 Brightness Levels,$46,https://newyork.craigslist.org/brk/sys/d/brooklyn-guukin-led-computer-desk-lamp/7440621463.html
MacBook Air 13 Core i5 1.6 GHz 4GB Ram SSD Flash 256GB Osx Big Sur,$420,https://newyork.craigslist.org/brk/sys/d/brooklyn-macbook-air-13-core-i5-16-ghz/7445536757.html
HP Envy 750-150xt Desktop + HP 23-inch LCD monitor,$330,https://newyork.craigslist.org/lgi/sys/d/valley-stream-hp-envy-xt-desktop-hp-23/7445536295.html
SMART 442i Collaborative Table Learning Center,"$1,200",https://newyork.craigslist.org/mnh/sys/d/new-york-smart-442i-collaborative-table/7445533780.html
"Dell I3180-A361GRY-PUS Inspiron 11.6"" 4GB RAM 32GB SSD Windows 10 Lapt",$160,https://newyork.craigslist.org/mnh/sys/d/new-york-dell-i3180-a361gry-pus/7445533573.html
"Canon Printer Ink Cartridge, 241XL, Sealed",,https://newyork.craigslist.org/que/sys/d/franklin-square-canon-printer-ink/7445533217.html
Alienware AW15R3 gaming computer,$800,https://newyork.craigslist.org/mnh/sys/d/new-york-alienware-aw15r3-gaming/7443631753.html
"Canon Printer Ink Cartridge, 241XL, Sealed",,https://newyork.craigslist.org/que/sys/d/franklin-square-canon-printer-ink/7445532204.html
Ergotron WorkFit Sit-Stand Workstation,$150,https://newyork.craigslist.org/jsy/sys/d/ergotron-workfit-sit-stand-workstation/7442415005.html
"Macbook Air 13 2014 model, Microsoft office installed",$200,https://newyork.craigslist.org/brk/sys/d/brooklyn-macbook-air-model-microsoft/7445531471.html
"MacBook Pro 15"" Touch Bar i7 16GB Ram  500gb 4gb Graphics!",$700,https://newyork.craigslist.org/brk/sys/d/brooklyn-macbook-pro-15-touch-bar-i7/7445531090.html
Dell Latitude E6420 Core i5 Laptop Computer Windows 10 WiFi Webcam HDMI 14.1 Inc,$149,https://newyork.craigslist.org/que/sys/d/elmhurst-dell-latitude-e6420-core-i5/7445517024.html
Mac Pro Desktop,$60,https://newyork.craigslist.org/mnh/sys/d/new-york-mac-pro-desktop/7443544913.html
"Apple iMac 24”, Intel 2.16GHz/ 4GB RAM/ 250GB HDD",$130,https://newyork.craigslist.org/brk/sys/d/brooklyn-apple-imac-24-intel-216ghz-4gb/7445526882.html
"Apple MacBook, Intel 2GHz/ 3GB RAM, 13"" LCD",$99,https://newyork.craigslist.org/brk/sys/d/brooklyn-apple-macbook-intel-2ghz-3gb/7445526337.html
"Apple MacBook Pro, Intel 2.16GHz/ 4GB RAM/ 500GB HDD",$130,https://newyork.craigslist.org/brk/sys/d/brooklyn-apple-macbook-pro-intel-216ghz/7445526142.html
iVoler Auto-Resize Aluminum Vertical Laptop Gravity Locking Stand,$26,https://newyork.craigslist.org/brk/sys/d/brooklyn-ivoler-auto-resize-aluminum/7433433155.html
"BY4U Laptop Stand for Desk, Portable Foldable Adjustable Laptop Holder",$27,https://newyork.craigslist.org/brk/sys/d/brooklyn-by4u-laptop-stand-for-desk/7443534564.html
Sabrent AC-HLDS Aluminum Vertical Laptop Stand MacBook Holder - NEW,$43,https://newyork.craigslist.org/brk/sys/d/brooklyn-sabrent-ac-hlds-aluminum/7436337481.html
HUANUO Standing Desk Converter Height Adjustable Standup Desktop Riser,$74,https://newyork.craigslist.org/brk/sys/d/brooklyn-huanuo-standing-desk-converter/7438976457.html
Nulaxy Ergonomic Portable Laptop Stand with Heat Vent Laptop Elevate,$36,https://newyork.craigslist.org/brk/sys/d/brooklyn-nulaxy-ergonomic-portable/7440957951.html
PECHAM 3mm Extended High Precise Large Gaming Mouse Pad 30.71x11.81 in,$27,https://newyork.craigslist.org/brk/sys/d/brooklyn-pecham-3mm-extended-high/7436352394.html
Dell Latitude 3340 Intel Core i5 Laptop Computer Windows 10 WiFi Webcam HDMI 14.,$199,https://newyork.craigslist.org/que/sys/d/elmhurst-dell-latitude-3340-intel-core/7445517192.html
IBM ThinkPad T23 Laptop,$99,https://newyork.craigslist.org/mnh/sys/d/new-york-ibm-thinkpad-t23-laptop/7437089769.html
Dell Optiplex 3050 Intel i5-7500,,https://newyork.craigslist.org/mnh/sys/d/brooklyn-dell-optiplex-3050-intel-i5/7437054599.html
Lenovo Slim Desktop,$149,https://newyork.craigslist.org/brk/sys/d/woodhaven-lenovo-slim-desktop/7437040768.html
Dell Optiplex 745 Slim Desktop,$129,https://newyork.craigslist.org/mnh/sys/d/woodhaven-dell-optiplex-745-slim-desktop/7437040397.html
Dell Optiplex 380 Computer,$129,https://newyork.craigslist.org/brk/sys/d/woodhaven-dell-optiplex-380-computer/7437040186.html
Dell Optiplex 760 Computer,$95,https://newyork.craigslist.org/brk/sys/d/woodhaven-dell-optiplex-760-computer/7437026603.html
Dell Optiplex 760 Desktop,$129,https://newyork.craigslist.org/mnh/sys/d/new-york-dell-optiplex-760-desktop/7437026487.html
HP Compaq 6000 Pro Midtower,$90,https://newyork.craigslist.org/mnh/sys/d/woodhaven-hp-compaq-6000-pro-midtower/7437026309.html
HP Compaq CQ5000 Desktop,$75,https://newyork.craigslist.org/brk/sys/d/woodhaven-hp-compaq-cq5000-desktop/7437014954.html
Dell Optiplex 740 Sim Desktop,,https://newyork.craigslist.org/mnh/sys/d/woodhaven-dell-optiplex-740-sim-desktop/7437014513.html
Nikon D810 36.3 MP Digital SLR Camera - Black (Body Only) Shutter Coun,$780,https://newyork.craigslist.org/brk/sys/d/brooklyn-nikon-mp-digital-slr-camera/7445523151.html
