Title,Price,Link
USB3 card PCIe out of Mac Pro also works with Windows,$25,https://newyork.craigslist.org/que/sop/d/jackson-heights-usb3-card-pcie-out-of/7441815719.html
"15.6""-17"" Laptop Cooler Cooling Pad - Portable USB",$20,https://newyork.craigslist.org/mnh/sop/d/new-york-laptop-cooler-cooling-pad/7433014156.html
ARRIS SURFboard SB6121 4x4 DOCSIS 3.0 Cable Modem,$45,https://newyork.craigslist.org/mnh/sop/d/new-york-arris-surfboard-sb6121-4x4/7433014084.html
"New HAVIT HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Portable USB",$30,https://newyork.craigslist.org/mnh/sop/d/new-york-new-havit-hv-laptop-cooler/7433012966.html
iLive IS208B Powered speaker system for iPod®,$30,https://newyork.craigslist.org/mnh/sop/d/new-york-ilive-is208b-powered-speaker/7433002958.html
Wireless Keyboard and Mouse,$25,https://newyork.craigslist.org/que/sop/d/brooklyn-wireless-keyboard-and-mouse/7445568580.html
Gaming Headset,$35,https://newyork.craigslist.org/que/sop/d/brooklyn-gaming-headset/7439396362.html
Logitech Classic USB TrackMan Trackball Mouse T-BB18,$45,https://newyork.craigslist.org/mnh/sop/d/new-york-logitech-classic-usb-trackman/7433002842.html
Elpida PC3-12800s 1600 DDR3 Memory From Apple 8GB RAM,,https://newyork.craigslist.org/mnh/sop/d/new-york-city-elpida-pc-1600-ddr3/7443104776.html
Label Printer,$100,https://newyork.craigslist.org/que/sop/d/brooklyn-label-printer/7442475540.html
Brand new ipad 2 cover and screen protector,$5,https://newyork.craigslist.org/mnh/sop/d/new-york-brand-new-ipad-cover-and/7433000991.html
Wireless Internet Router,$70,https://newyork.craigslist.org/brk/sop/d/brooklyn-wireless-internet-router/7443419571.html
Hp Keyboard and Mouse,$30,https://newyork.craigslist.org/que/sop/d/elmhurst-hp-keyboard-and-mouse/7445566407.html
27-inch Thunderbolt monitor,$400,https://newyork.craigslist.org/fct/sop/d/riverside-27-inch-thunderbolt-monitor/7445565106.html
Vintage MSI nVidia Radeon MX 4000 Graphics Card,$30,https://newyork.craigslist.org/mnh/sop/d/new-york-vintage-msi-nvidia-radeon-mx/7437302652.html
Toshiba 2.5” SATA 80GB HDD Drive,$10,https://newyork.craigslist.org/mnh/sop/d/new-york-toshiba-25-sata-80gb-hdd-drive/7437302615.html
NEW VINTAGE APPLE EXTENDED KEYBOARD,$400,https://newyork.craigslist.org/que/sop/d/long-island-city-new-vintage-apple/7436228733.html
Label Printer,$110,https://newyork.craigslist.org/brk/sop/d/brooklyn-label-printer/7442447146.html
Label Printer,$100,https://newyork.craigslist.org/que/sop/d/brooklyn-label-printer/7442573072.html
Label Printer,$100,https://newyork.craigslist.org/que/sop/d/brooklyn-label-printer/7442620857.html
Toshiba-Samsung Desktop DVD-Writer Drive,$20,https://newyork.craigslist.org/mnh/sop/d/new-york-toshiba-samsung-desktop-dvd/7443582974.html
"Original Brother Printer - 4 Pack DRUM Units (Tested, 100% Capacity)",$45,https://newyork.craigslist.org/mnh/sop/d/new-york-original-brother-printer-pack/7444502066.html
Genuine Brother Printer WT-223CL Waste Toner Box (New),$20,https://newyork.craigslist.org/mnh/sop/d/new-york-genuine-brother-printer-wt/7444502109.html
Brother LR2231001 (LY6753001) Fuser Unit,$50,https://newyork.craigslist.org/mnh/sop/d/new-york-brother-lr-ly-fuser-unit/7444502679.html
Dell XPS Aluminum Mousepad,$10,https://newyork.craigslist.org/mnh/sop/d/new-york-dell-xps-aluminum-mousepad/7443562320.html
Genuine Geovision 40-AEX16-100 16-channel Expansion/Extension card,$15,https://newyork.craigslist.org/mnh/sop/d/new-york-genuine-geovision-40-aex/7438106723.html
NZXT H500 mid tower,$0,https://newyork.craigslist.org/brk/sop/d/brooklyn-nzxt-h500-mid-tower/7445559563.html
Label Printer,$110,https://newyork.craigslist.org/brk/sop/d/brooklyn-label-printer/7443583763.html
DELL DOCKING STATION WD15 (130W AC ADAPTER),$80,https://newyork.craigslist.org/mnh/sop/d/new-york-dell-docking-station-wd15-130w/7433054174.html
Based on Intel 6 new Wi-Fi cad with 2 antennas. New in abox.,$0,https://newyork.craigslist.org/mnh/sop/d/new-york-based-on-intel-new-wi-fi-cad/7445554910.html
2 HDMI CABLES+ 1 20 ft. coaxial  TV cable + 2 pack of ENERCELL surge,$22,https://newyork.craigslist.org/brk/sop/d/brooklyn-hdmi-cables-20-ft-coaxial-tv/7445554327.html
Apple g4 iMac clear sphere speakers,$25,https://newyork.craigslist.org/que/sop/d/richmond-hill-apple-g4-imac-clear/7441132352.html
New EVGA RTX 3080 FTW3 Ultra LHR Graphics Card,"$1,400",https://newyork.craigslist.org/mnh/sop/d/new-york-new-evga-rtx-3080-ftw3-ultra/7441336643.html
HP SCSI Server Backplane,$30,https://newyork.craigslist.org/mnh/sop/d/new-york-hp-scsi-server-backplane/7444504273.html
HP Server Front Control Panel,$25,https://newyork.craigslist.org/mnh/sop/d/new-york-hp-server-front-control-panel/7444504253.html
HP Desktop Monitor Stand,$20,https://newyork.craigslist.org/mnh/sop/d/new-york-hp-desktop-monitor-stand/7444504246.html
Lot Of 10 New Kingston IronKey D300 IKD300S 4GB 4 UNMANAGED FIPS 140 ENCRYPTED U,$550,https://newyork.craigslist.org/mnh/sop/d/new-york-lot-of-10-new-kingston-ironkey/7445547527.html
motorola surfboard SB6141 modem,$40,https://newyork.craigslist.org/que/sop/d/long-island-city-motorola-surfboard/7441352098.html
BRAND NEW Microsoft Surface Dock Model 1661 PF3-00005 Surface Pro Dock,$175,https://newyork.craigslist.org/mnh/sop/d/new-york-city-brand-new-microsoft/7444382726.html
Hipro HP-P3017F3  300W Power Supply,$35,https://newyork.craigslist.org/mnh/sop/d/new-york-hipro-hp-p3017f3-300w-power/7443887326.html
"ASUS PA248Q 24 monitor, black",$120,https://newyork.craigslist.org/que/sop/d/astoria-asus-pa248q-24-monitor-black/7443887888.html
"ASUS PA248Q 24 monitor, black",$120,https://newyork.craigslist.org/que/sop/d/woodside-asus-pa248q-24-monitor-black/7443888085.html
Desktop Memory 1GB 2Rx8 PC2-5300U-555-13 PC2,$5,https://newyork.craigslist.org/mnh/sop/d/new-york-desktop-memory-1gb-2rx8-pc2/7443890696.html
Thermaltake Element S VK60001N2Z Black ATX Mid Tower Computer Case,$100,https://newyork.craigslist.org/que/sop/d/forest-hills-thermaltake-element/7437822391.html
"HP LP1965 19"" LCD Computer Monitor w DVI Input, Power Cord",$40,https://newyork.craigslist.org/que/sop/d/fresh-meadows-hp-lp-lcd-computer/7437822355.html
"HP 950XL/951 Black High Yield, Cyan/Magenta/Yellow Standard Yield Ink",$40,https://newyork.craigslist.org/mnh/sop/d/new-york-hp-950xl-951-black-high-yield/7443893773.html
Desk,$20,https://newyork.craigslist.org/brk/sop/d/brooklyn-desk/7445540156.html
"FINAL CUT, PLUGINS, ADOBE, PREMIERE, NEXUS 3, OUTPUT, FX FACTORY",$20,https://newyork.craigslist.org/brk/sop/d/brooklyn-final-cut-plugins-adobe/7442617094.html
"FINAL CUT, PLUGINS, ADOBE, PREMIERE, NEXUS 3, OUTPUT, FX FACTORY ",$20,https://newyork.craigslist.org/brk/sop/d/brooklyn-final-cut-plugins-adobe/7443534194.html
"Beautiful vivid color LED display ACER 21.5"" Touch-screen monitor",$220,https://newyork.craigslist.org/brk/sop/d/brooklyn-beautiful-vivid-color-led/7445527172.html
"Vivo 36"" dual-tier height-adjustable standing desktop converter",$160,https://newyork.craigslist.org/brk/sop/d/brooklyn-vivo-36-dual-tier-height/7444575844.html
Elevated keyboard monitor computer stand,$25,https://newyork.craigslist.org/brk/sop/d/brooklyn-elevated-keyboard-monitor/7445526681.html
Belkin Pro Series Category 5e 10' Cable,$10,https://newyork.craigslist.org/que/sop/d/flushing-belkin-pro-series-category-5e/7444508907.html
Brother TN 250 Black Toner Cartridge,$30,https://newyork.craigslist.org/que/sop/d/flushing-brother-tn-250-black-toner/7444509085.html
HP Hewlett Packard 5189 Wired Black & Silver Computer Keyboard,$20,https://newyork.craigslist.org/que/sop/d/hp-hewlett-packard-5189-wired-black/7444520023.html
ASUS RP-N54 Dual-Band (2.4 GHz 5 GHz) Wireless N600 Repeater / Access,$35,https://newyork.craigslist.org/que/sop/d/flushing-asus-rp-n54-dual-band-24-ghz/7444520168.html
2x Dell Laptop Chargers (long and short),$5,https://newyork.craigslist.org/mnh/sop/d/new-york-2x-dell-laptop-chargers-long/7439469488.html
