Title,Price,Link
Fanatec Sim Racing setup,"$1,300",https://newyork.craigslist.org/fct/vgm/d/new-york-fanatec-sim-racing-setup/7445571001.html
Have a nice system xbox one x,$60,https://newyork.craigslist.org/jsy/vgm/d/newark-have-nice-system-xbox-one/7440476208.html
Xbox one RED Controller for sale,$15,https://newyork.craigslist.org/brk/vgm/d/brooklyn-xbox-one-red-controller-for/7445568176.html
"SONY PlayStation 2, 2 SONY Controllers, HDD Ethernet Network Adapter",$159,https://newyork.craigslist.org/que/vgm/d/ridgewood-sony-playstation-2-sony/7442924763.html
Microsoft XBOX 360 Black Controller,$24,https://newyork.craigslist.org/que/vgm/d/ridgewood-microsoft-xbox-360-black/7443842114.html
Microsoft Xbox 360 TV Component or Composite Video HD AV Cable Cord,$5,https://newyork.craigslist.org/que/vgm/d/ridgewood-microsoft-xbox-360-tv/7443840673.html
Rotor Riot Mfi Certified Gamepad Controller for iOS iPhone,$35,https://newyork.craigslist.org/que/vgm/d/ridgewood-rotor-riot-mfi-certified/7443830442.html
Nintendo Switch OLED In Hand,$450,https://newyork.craigslist.org/que/vgm/d/queens-village-nintendo-switch-oled-in/7445563974.html
PlayStation 5 Disc Edition. New/Sealed. -,$400,https://newyork.craigslist.org/mnh/vgm/d/new-york-playstation-disc-edition-new/7445556204.html
PECHAM 3mm Extended High Precise Large Gaming Mouse Pad 30.71x11.81 in,$27,https://newyork.craigslist.org/brk/vgm/d/brooklyn-pecham-3mm-extended-high/7435159148.html
"Call of Duty, Modern Warfare 3 Video Game FOR Microsoft XBOX 360",$12,https://newyork.craigslist.org/que/vgm/d/ridgewood-call-of-duty-modern-warfare/7443830164.html
Sony Playstation 2 PS2 HDD SATA Hard Disk Network Adapter,$23,https://newyork.craigslist.org/que/vgm/d/ridgewood-sony-playstation-ps2-hdd-sata/7444721013.html
PowerA Wired Controller For Nintendo Switch GameCube Style - Black,$34,https://newyork.craigslist.org/brk/vgm/d/brooklyn-powera-wired-controller-for/7433612410.html
"ALL IN ONE-MAGNETIC LOCK DOOR, PLUG & PLAY, remote control, buzzer",$187,https://newyork.craigslist.org/brk/vgm/d/newark-all-in-one-magnetic-lock-door/7438020503.html
"Tom Clancy's Rainbow Six Siege Video Game for PS4, Sony PlayStation 4",$14,https://newyork.craigslist.org/que/vgm/d/ridgewood-tom-clancys-rainbow-six-siege/7443810584.html
PSP WITH GAMES,$70,https://newyork.craigslist.org/brk/vgm/d/psp-with-games/7438343667.html
PSP GAMES ON MEMORY CARD,$20,https://newyork.craigslist.org/brk/vgm/d/brooklyn-psp-games-on-memory-card/7438343797.html
PSP FOR SALE WITH GAMES,$70,https://newyork.craigslist.org/brk/vgm/d/psp-for-sale-with-games/7438346333.html
New Playstation 5 Disc Console PS5,$750,https://newyork.craigslist.org/mnh/vgm/d/new-york-new-playstation-disc-console/7444225066.html
ANBERNIC RG350 Retro game handheld console,$50,https://newyork.craigslist.org/que/vgm/d/long-island-city-anbernic-rg350-retro/7441361715.html
"SONY PlayStation 1 PS1 Console SCPH-7001, SONY Controller & Cable",$75,https://newyork.craigslist.org/que/vgm/d/ridgewood-sony-playstation-ps1-console/7442889341.html
"Middle-earth, Shadow of Mordor Video Game for Sony PlayStation 4, PS4",$12,https://newyork.craigslist.org/que/vgm/d/ridgewood-middle-earth-shadow-of-mordor/7443788587.html
"EA Sports UFC for Sony PlayStation 4, PS4.",$12,https://newyork.craigslist.org/que/vgm/d/ridgewood-ea-sports-ufc-for-sony/7443788369.html
Xbox 20 Video Games,$8,https://newyork.craigslist.org/que/vgm/d/ridgewood-xbox-20-video-games/7443788176.html
"Destiny 2 Video Games for PlayStation 4, PS4 BRAND NEW",$14,https://newyork.craigslist.org/que/vgm/d/ridgewood-destiny-video-games-for/7443789530.html
N64 wireless controller sealed!,$100,https://newyork.craigslist.org/que/vgm/d/cambria-heights-n64-wireless-controller/7436200497.html
"TECNO Wireless Gaming Earbuds with Microphone, 50ms Ultra-Low Latency",$54,https://newyork.craigslist.org/brk/vgm/d/brooklyn-tecno-wireless-gaming-earbuds/7440618376.html
2000 HASBRO Tabletop MONOPOLY Pinball Machine,$100,https://newyork.craigslist.org/que/vgm/d/queens-village-2000-hasbro-tabletop/7445515750.html
PS5,$200,https://newyork.craigslist.org/jsy/vgm/d/new-york-ps5/7445499632.html
*** PLAY STATION 2 GAMES / XBOX FOOTBALL / WII FIT ***,$3,https://newyork.craigslist.org/lgi/vgm/d/play-station-games-xbox-football-wii/7440689670.html
PES (Pro Evolution Soccer) 2010 PlayStation 3 game,$10,https://newyork.craigslist.org/mnh/vgm/d/new-york-pes-pro-evolution-soccer-2010/7436708569.html
"SONY PlayStation 2, 2 Controllers HDD Ethernet Network Adapter, 8Games",$198,https://newyork.craigslist.org/que/vgm/d/ridgewood-sony-playstation-2/7442013516.html
NEW FOR SONY PlayStation PS1 PS2 PS3 RCA AV TV Audio Video Cables,$5,https://newyork.craigslist.org/que/vgm/d/ridgewood-new-for-sony-playstation-ps1/7442022951.html
DUAL PORTABLE DVD PLAYER,$60,https://newyork.craigslist.org/brx/vgm/d/dual-portable-dvd-player/7434543168.html
DIAMOND DOTZ  INDIAN LADY (ART),$40,https://newyork.craigslist.org/brx/vgm/d/diamond-dotz-indian-lady-art/7436895559.html
BUDDHA FOUNTAIN TABLE TOP,$15,https://newyork.craigslist.org/brx/vgm/d/buddha-fountain-table-top/7436103173.html
Deadpool Video Game for Microsoft Xbox 360 Marvel X-Men,$10,https://newyork.craigslist.org/que/vgm/d/ridgewood-deadpool-video-game-for/7443756407.html
Microsoft Xbox One Kinect Camera Motion Sensor Bar,$38,https://newyork.craigslist.org/que/vgm/d/ridgewood-microsoft-xbox-one-kinect/7443755040.html
"Motorcycle Club For Sony PlayStation 4, PS4",$14,https://newyork.craigslist.org/que/vgm/d/ridgewood-motorcycle-club-for-sony/7443736978.html
"Dragon Ball XenoVerse XV FOR Sony PlayStation 4, PS4",$12,https://newyork.craigslist.org/que/vgm/d/ridgewood-dragon-ball-xenoverse-xv-for/7443735933.html
Nintendo Switch 32GB,$175,https://newyork.craigslist.org/brk/vgm/d/jersey-city-nintendo-switch-32gb/7445481841.html
Brand New PS4 2018 F1 game mint condition,$25,https://newyork.craigslist.org/lgi/vgm/d/oceanside-brand-new-ps-f1-game-mint/7434028078.html
Xbox Series X  Mint with box,,https://newyork.craigslist.org/brk/vgm/d/brooklyn-xbox-series-mint-with-box/7445491417.html
Nintendo Switch - Alladin and the lion king,$30,https://newyork.craigslist.org/mnh/vgm/d/new-york-nintendo-switch-alladin-and/7445491360.html
Nintendo Switch,,https://newyork.craigslist.org/brk/vgm/d/brooklyn-nintendo-switch/7445488833.html
Nintendo DS XL,$45,https://newyork.craigslist.org/brk/vgm/d/brooklyn-nintendo-ds-xl/7441194184.html
Video Game - Immortals Fenyx Rising - Nintendo Switch Standard Edition,$15,https://newyork.craigslist.org/que/vgm/d/woodside-video-game-immortals-fenyx/7445488466.html
[Prototype] XBOX360,$3,https://newyork.craigslist.org/mnh/vgm/d/new-york-prototype-xbox360/7445488114.html
FIFA 08 Soccer - XBOX360,$3,https://newyork.craigslist.org/mnh/vgm/d/new-york-fifa-08-soccer-xbox360/7445487892.html
World Series of Poker - Playstation 2,$3,https://newyork.craigslist.org/mnh/vgm/d/new-york-world-series-of-poker/7445487764.html
Gears of War 2 - XBOX360,$3,https://newyork.craigslist.org/mnh/vgm/d/new-york-gears-of-war-xbox360/7445487674.html
SYLVANIA T.V.,$30,https://newyork.craigslist.org/brx/vgm/d/sylvania-tv/7435232096.html
Assassin’s Creed II - XBOX360,$3,https://newyork.craigslist.org/mnh/vgm/d/new-york-assassins-creed-ii-xbox360/7445484415.html
Enter the Matrix - Playstation 2,$3,https://newyork.craigslist.org/mnh/vgm/d/new-york-enter-the-matrix-playstation/7445484277.html
The Incredibles - Playstation 2,$3,https://newyork.craigslist.org/mnh/vgm/d/new-york-the-incredibles-playstation/7445484166.html
South Park - The Stick of Truth - XBOX 360,$3,https://newyork.craigslist.org/mnh/vgm/d/new-york-south-park-the-stick-of-truth/7445484028.html
Xbox 360 KINECT SENSOR,$20,https://newyork.craigslist.org/que/vgm/d/ridgewood-xbox-360-kinect-sensor/7443716814.html
Mad Catz 8246 Clear 2.4Ghz Wireless Controller For PlayStation 2,$20,https://newyork.craigslist.org/que/vgm/d/ridgewood-mad-catz-8246-clear-24ghz/7443723103.html
XBOX 360 POWER ADAPTER,$19,https://newyork.craigslist.org/que/vgm/d/ridgewood-xbox-360-power-adapter/7443716537.html
Microsoft XBOX 360 Controller,$20,https://newyork.craigslist.org/que/vgm/d/ridgewood-microsoft-xbox-360-controller/7443713020.html
SONY PlayStation 3 PS3 80GB Fat Control & Sony Controller,$165,https://newyork.craigslist.org/que/vgm/d/ridgewood-sony-playstation-ps3-80gb-fat/7443706723.html
X Box Series One S,$175,https://newyork.craigslist.org/mnh/vgm/d/new-york-box-series-one/7443253656.html
PS5 Storage Upgrade,$300,https://newyork.craigslist.org/brk/vgm/d/brooklyn-ps5-storage-upgrade/7445476364.html
Ps5 Digital With 5 Games 2TB External Drive,$730,https://newyork.craigslist.org/brk/vgm/d/brooklyn-ps5-digital-with-games-2tb/7445471727.html
PS3 Lot (12 Games),$100,https://newyork.craigslist.org/brk/vgm/d/brooklyn-ps3-lot-12-games/7443530232.html
Street Fighter 2 Arcade Game,$975,https://newyork.craigslist.org/fct/vgm/d/stamford-street-fighter-arcade-game/7445471906.html
Street Fighter 2 Arcade Game,$975,https://newyork.craigslist.org/fct/vgm/d/stamford-street-fighter-arcade-game/7445471681.html
New Sealed MLB The Show 21 2021 Xbox Series X Baseball Video Game,$40,https://newyork.craigslist.org/que/vgm/d/woodside-new-sealed-mlb-the-show-xbox/7442664808.html
NBA 2K22 2K Sports Microsoft Xbox Series X S 4K Basketball Video Game,$30,https://newyork.craigslist.org/que/vgm/d/woodside-nba-2k22-2k-sports-microsoft/7434187841.html
