repo_name,repo_owner,repo_url,repo_owner_url,stars
three.js,mrdoob,/mrdoob/three.js,/mrdoob,79000.0
libgdx,libgdx,/libgdx/libgdx,/libgdx,19600.0
react-three-fiber,pmndrs,/pmndrs/react-three-fiber,/pmndrs,16800.0
Babylon.js,BabylonJS,/BabylonJS/Babylon.js,/BabylonJS,15900.0
aframe,aframevr,/aframevr/aframe,/aframevr,13800.0
tinyrenderer,ssloy,/ssloy/tinyrenderer,/ssloy,12100.0
3d-game-shaders-for-beginners,lettier,/lettier/3d-game-shaders-for-beginners,/lettier,12100.0
FreeCAD,FreeCAD,/FreeCAD/FreeCAD,/FreeCAD,10700.0
zdog,metafizzy,/metafizzy/zdog,/metafizzy,9000.0
cesium,CesiumGS,/CesiumGS/cesium,/CesiumGS,8300.0
3D-Machine-Learning,timzhang642,/timzhang642/3D-Machine-Learning,/timzhang642,7600.0
SpaceshipGenerator,a1studmuffin,/a1studmuffin/SpaceshipGenerator,/a1studmuffin,7000.0
Open3D,isl-org,/isl-org/Open3D,/isl-org,6100.0
BlenderGIS,domlysz,/domlysz/BlenderGIS,/domlysz,4800.0
spritejs,spritejs,/spritejs/spritejs,/spritejs,4800.0
blender,blender,/blender/blender,/blender,4700.0
openscad,openscad,/openscad/openscad,/openscad,4600.0
tensorspace,tensorspace-team,/tensorspace-team/tensorspace,/tensorspace-team,4600.0
webglstudio.js,jagenjo,/jagenjo/webglstudio.js,/jagenjo,4600.0
PRNet,YadiraF,/YadiraF/PRNet,/YadiraF,4500.0
vrn,AaronJackson,/AaronJackson/vrn,/AaronJackson,4400.0
tinyraytracer,ssloy,/ssloy/tinyraytracer,/ssloy,4000.0
model-viewer,google,/google/model-viewer,/google,4000.0
magnum,mosra,/mosra/magnum,/mosra,3800.0
webgl-fundamentals,gfxfundamentals,/gfxfundamentals/webgl-fundamentals,/gfxfundamentals,3400.0
Fyrox,FyroxEngine,/FyroxEngine/Fyrox,/FyroxEngine,3400.0
3DDFA,cleardusk,/cleardusk/3DDFA,/cleardusk,3200.0
vanta,tengbao,/tengbao/vanta,/tengbao,3200.0
isometric-contributions,jasonlong,/jasonlong/isometric-contributions,/jasonlong,3100.0
meshlab,cnr-isti-vclab,/cnr-isti-vclab/meshlab,/cnr-isti-vclab,2700.0
