repo_name,repo_owner,repo_url,repo_owner_url,stars
serverless,serverless,/serverless/serverless,/serverless,42100.0
localstack,localstack,/localstack/localstack,/localstack,38700.0
data-science-ipython-notebooks,donnemartin,/donnemartin/data-science-ipython-notebooks,/donnemartin,22400.0
devops-exercises,bregman-arie,/bregman-arie/devops-exercises,/bregman-arie,21200.0
awesome-kubernetes,ramitsurana,/ramitsurana/awesome-kubernetes,/ramitsurana,12500.0
aws-cli,aws,/aws/aws-cli,/aws,12000.0
kubespray,kubernetes-sigs,/kubernetes-sigs/kubespray,/kubernetes-sigs,11900.0
pulumi,pulumi,/pulumi/pulumi,/pulumi,11400.0
cas,apereo,/apereo/cas,/apereo,9300.0
sops,mozilla,/mozilla/sops,/mozilla,9100.0
chalice,aws,/aws/chalice,/aws,8700.0
amplify-js,aws-amplify,/aws-amplify/amplify-js,/aws-amplify,8600.0
up,apex,/apex/up,/apex,8500.0
serverless-application-model,aws,/aws/serverless-application-model,/aws,8400.0
go-cloud,google,/google/go-cloud,/google,8200.0
caprover,caprover,/caprover/caprover,/caprover,8100.0
openvpn-install,angristan,/angristan/openvpn-install,/angristan,7400.0
boto3,boto,/boto/boto3,/boto,7000.0
aws-sdk-js,aws,/aws/aws-sdk-js,/aws,6900.0
terraform-provider-aws,hashicorp,/hashicorp/terraform-provider-aws,/hashicorp,6900.0
aws-shell,awslabs,/awslabs/aws-shell,/awslabs,6400.0
terratest,gruntwork-io,/gruntwork-io/terratest,/gruntwork-io,5900.0
aws-sam-cli,aws,/aws/aws-sam-cli,/aws,5900.0
aws-vault,99designs,/99designs/aws-vault,/99designs,5800.0
dev-setup,donnemartin,/donnemartin/dev-setup,/donnemartin,5600.0
terragrunt,gruntwork-io,/gruntwork-io/terragrunt,/gruntwork-io,5600.0
moto,spulec,/spulec/moto,/spulec,5600.0
ansible-for-devops,geerlingguy,/geerlingguy/ansible-for-devops,/geerlingguy,5400.0
infracost,infracost,/infracost/infracost,/infracost,5300.0
midway,midwayjs,/midwayjs/midway,/midwayjs,5300.0
