repo_name,repo_owner,repo_url,repo_owner_url,stars
flutter,flutter,/flutter/flutter,/flutter,136000.0
free-programming-books-zh_CN,justjavac,/justjavac/free-programming-books-zh_CN,/justjavac,87300.0
scrcpy,Genymobile,/Genymobile/scrcpy,/Genymobile,61200.0
Awesome-Hacking,Hack-with-Github,/Hack-with-Github/Awesome-Hacking,/Hack-with-Github,49300.0
material-design-icons,google,/google/material-design-icons,/google,45000.0
awesome-android-ui,wasabeef,/wasabeef/awesome-android-ui,/wasabeef,42100.0
okhttp,square,/square/okhttp,/square,41600.0
architecture-samples,android,/android/architecture-samples,/android,40200.0
retrofit,square,/square/retrofit,/square,39500.0
awesome-flutter,Solido,/Solido/awesome-flutter,/Solido,39300.0
MPAndroidChart,PhilJay,/PhilJay/MPAndroidChart,/PhilJay,34600.0
fastlane,fastlane,/fastlane/fastlane,/fastlane,34100.0
lottie-android,airbnb,/airbnb/lottie-android,/airbnb,32400.0
shadowsocks-android,shadowsocks,/shadowsocks/shadowsocks-android,/shadowsocks,32299.999999999996
glide,bumptech,/bumptech/glide,/bumptech,32200.000000000004
android-open-project,Trinea,/Trinea/android-open-project,/Trinea,30800.0
AndroidUtilCode,Blankj,/Blankj/AndroidUtilCode,/Blankj,30400.0
gold-miner,xitu,/xitu/gold-miner,/xitu,30100.0
ijkplayer,bilibili,/bilibili/ijkplayer,/bilibili,30000.0
zxing,zxing,/zxing/zxing,/zxing,29000.0
jadx,skylot,/skylot/jadx,/skylot,29000.0
joplin,laurent22,/laurent22/joplin,/laurent22,28100.0
android_guides,codepath,/codepath/android_guides,/codepath,27700.0
leakcanary,square,/square/leakcanary,/square,27200.0
fastjson,alibaba,/alibaba/fastjson,/alibaba,24100.0
SmartRefreshLayout,scwang90,/scwang90/SmartRefreshLayout,/scwang90,23300.0
BaseRecyclerViewAdapterHelper,CymChad,/CymChad/BaseRecyclerViewAdapterHelper,/CymChad,22600.0
react-native-elements,react-native-elements,/react-native-elements/react-native-elements,/react-native-elements,22000.0
iosched,google,/google/iosched,/google,21100.0
NativeScript,NativeScript,/NativeScript/NativeScript,/NativeScript,20900.0
