repo_name,repo_owner,repo_url,repo_owner_url,stars
ansible,ansible,/ansible/ansible,/ansible,52100.0
algo,trailofbits,/trailofbits/algo,/trailofbits,24600.0
streisand,StreisandEffect,/StreisandEffect/streisand,/StreisandEffect,22600.0
devops-exercises,bregman-arie,/bregman-arie/devops-exercises,/bregman-arie,21200.0
kubespray,kubernetes-sigs,/kubernetes-sigs/kubespray,/kubernetes-sigs,11900.0
awx,ansible,/ansible/awx,/ansible,10700.0
kubeasz,easzlab,/easzlab/kubeasz,/easzlab,7800.0
ansible-for-devops,geerlingguy,/geerlingguy/ansible-for-devops,/geerlingguy,5400.0
homelab,khuedoan,/khuedoan/homelab,/khuedoan,5300.0
semaphore,ansible-semaphore,/ansible-semaphore/semaphore,/ansible-semaphore,4700.0
rundeck,rundeck,/rundeck/rundeck,/rundeck,4500.0
mac-dev-playbook,geerlingguy,/geerlingguy/mac-dev-playbook,/geerlingguy,4400.0
DevOps-Guide,Tikam02,/Tikam02/DevOps-Guide,/Tikam02,4300.0
KubeOperator,KubeOperator,/KubeOperator/KubeOperator,/KubeOperator,4200.0
DetectionLab,clong,/clong/DetectionLab,/clong,3400.0
molecule,ansible-community,/ansible-community/molecule,/ansible-community,3300.0
opendevops,opendevops-cn,/opendevops-cn/opendevops,/opendevops-cn,3000.0
werf,werf,/werf/werf,/werf,2900.0
OpsManage,welliamcao,/welliamcao/OpsManage,/welliamcao,2900.0
netboot.xyz,netbootxyz,/netbootxyz/netboot.xyz,/netbootxyz,2900.0
90DaysOfDevOps,MichaelCade,/MichaelCade/90DaysOfDevOps,/MichaelCade,2800.0
ansible-lint,ansible-community,/ansible-community/ansible-lint,/ansible-community,2700.0
ansible-collection-hardening,dev-sec,/dev-sec/ansible-collection-hardening,/dev-sec,2600.0
chrome-aws-lambda,alixaxel,/alixaxel/chrome-aws-lambda,/alixaxel,2600.0
litmus,litmuschaos,/litmuschaos/litmus,/litmuschaos,2500.0
trellis,roots,/roots/trellis,/roots,2300.0
deploy,ansistrano,/ansistrano/deploy,/ansistrano,2200.0
openshift-ansible,openshift,/openshift/openshift-ansible,/openshift,2000.0
ansible-cmdb,fboender,/fboender/ansible-cmdb,/fboender,2000.0
pytest-testinfra,pytest-dev,/pytest-dev/pytest-testinfra,/pytest-dev,2000.0
