repo_name,repo_owner,repo_url,repo_owner_url,stars
atom,atom,/atom/atom,/atom,56800.0
themer,themerdev,/themerdev/themer,/themerdev,4600.0
hydrogen,nteract,/nteract/hydrogen,/nteract,3800.0
markdown-preview-enhanced,shd101wyy,/shd101wyy/markdown-preview-enhanced,/shd101wyy,3600.0
v2,miniflux,/miniflux/v2,/miniflux,3300.0
teletype,atom,/atom/teletype,/atom,2400.0
awesome-atom,mehcode,/mehcode/awesome-atom,/mehcode,1900.0
gofeed,mmcdole,/mmcdole/gofeed,/mmcdole,1800.0
go-plus,joefitzgerald,/joefitzgerald/go-plus,/joefitzgerald,1500.0
atom-beautify,Glavin001,/Glavin001/atom-beautify,/Glavin001,1500.0
simplepie,simplepie,/simplepie/simplepie,/simplepie,1400.0
atom-vim-mode-plus,t9md,/t9md/atom-vim-mode-plus,/t9md,1400.0
merlin,ocaml,/ocaml/merlin,/ocaml,1400.0
feedparser,kurtmckee,/kurtmckee/feedparser,/kurtmckee,1400.0
MagicPython,MagicStack,/MagicStack/MagicPython,/MagicStack,1300.0
apm,atom,/atom/apm,/atom,1200.0
atom,file-icons,/file-icons/atom,/file-icons,1200.0
atomic-layout,kettanaito,/kettanaito/atomic-layout,/kettanaito,1100.0
github,atom,/atom/github,/atom,99000.0
FeedKit,nmdias,/nmdias/FeedKit,/nmdias,96000.0
atom-one-dark-terminal,nathanbuchar,/nathanbuchar/atom-one-dark-terminal,/nathanbuchar,94000.0
atomic-chrome,danhper,/danhper/atomic-chrome,/danhper,92000.0
seti-ui,jesseweed,/jesseweed/seti-ui,/jesseweed,88000.0
kotlin-language-server,fwcd,/fwcd/kotlin-language-server,/fwcd,86000.0
prettier-atom,prettier,/prettier/prettier-atom,/prettier,77000.0
lucario,raphamorim,/raphamorim/lucario,/raphamorim,74000.0
atom-script,atom-community,/atom-community/atom-script,/atom-community,73000.0
feed,jpmonette,/jpmonette/feed,/jpmonette,72000.0
cypht,jasonmunro,/jasonmunro/cypht,/jasonmunro,69000.0
jekyll-feed,jekyll,/jekyll/jekyll-feed,/jekyll,69000.0
