repo_name,repo_owner,repo_url,repo_owner_url,stars
awesome,sindresorhus,/sindresorhus/awesome,/sindresorhus,189000.0
awesome-python,vinta,/vinta/awesome-python,/vinta,116000.0
awesome-selfhosted,awesome-selfhosted,/awesome-selfhosted/awesome-selfhosted,/awesome-selfhosted,77400.0
awesome-go,avelino,/avelino/awesome-go,/avelino,75300.0
the-book-of-secret-knowledge,trimstray,/trimstray/the-book-of-secret-knowledge,/trimstray,59700.0
papers-we-love,papers-we-love,/papers-we-love/papers-we-love,/papers-we-love,53100.0
HelloGitHub,521xueweihan,/521xueweihan/HelloGitHub,/521xueweihan,52300.0
Awesome-Hacking,Hack-with-Github,/Hack-with-Github/Awesome-Hacking,/Hack-with-Github,49300.0
awesome-mac,jaywcjlove,/jaywcjlove/awesome-mac,/jaywcjlove,47700.0
awesome-interview-questions,DopplerHQ,/DopplerHQ/awesome-interview-questions,/DopplerHQ,45100.0
awesome-nodejs,sindresorhus,/sindresorhus/awesome-nodejs,/sindresorhus,43800.0
awesome-android-ui,wasabeef,/wasabeef/awesome-android-ui,/wasabeef,42100.0
awesome-flutter,Solido,/Solido/awesome-flutter,/Solido,39300.0
awesome-courses,prakhar1989,/prakhar1989/awesome-courses,/prakhar1989,39200.0
awesome-ios,vsouza,/vsouza/awesome-ios,/vsouza,39000.0
awesome-for-beginners,MunGell,/MunGell/awesome-for-beginners,/MunGell,38600.0
awesome-scalability,binhnguyennus,/binhnguyennus/awesome-scalability,/binhnguyennus,37400.0
awesome-cpp,fffaraz,/fffaraz/awesome-cpp,/fffaraz,35800.0
github-cheat-sheet,tiimgreen,/tiimgreen/github-cheat-sheet,/tiimgreen,33800.0
frontend-dev-bookmarks,dypsilon,/dypsilon/frontend-dev-bookmarks,/dypsilon,33200.0
awesome-java,akullpp,/akullpp/awesome-java,/akullpp,31400.0
open-source-mac-os-apps,serhii-londar,/serhii-londar/open-source-mac-os-apps,/serhii-londar,29400.0
open-source-ios-apps,dkhamsing,/dkhamsing/open-source-ios-apps,/dkhamsing,29400.0
awesome-react-components,brillout,/brillout/awesome-react-components,/brillout,29000.0
awesome-php,ziadoz,/ziadoz/awesome-php,/ziadoz,26200.0
awesome-macos-command-line,herrbischoff,/herrbischoff/awesome-macos-command-line,/herrbischoff,25600.0
awesome-rust,rust-unofficial,/rust-unofficial/awesome-rust,/rust-unofficial,24200.0
Awesome-Design-Tools,goabstract,/goabstract/Awesome-Design-Tools,/goabstract,23900.0
awesome-shell,alebcay,/alebcay/awesome-shell,/alebcay,22900.0
awesome-electron,sindresorhus,/sindresorhus/awesome-electron,/sindresorhus,22400.0
