repo_name,repo_owner,repo_url,repo_owner_url,stars
devops-exercises,bregman-arie,/bregman-arie/devops-exercises,/bregman-arie,21200.0
awesome-kubernetes,ramitsurana,/ramitsurana/awesome-kubernetes,/ramitsurana,12500.0
recommenders,microsoft,/microsoft/recommenders,/microsoft,12200.0
pulumi,pulumi,/pulumi/pulumi,/pulumi,11400.0
azure-quickstart-templates,Azure,/Azure/azure-quickstart-templates,/Azure,11400.0
sops,mozilla,/mozilla/sops,/mozilla,9100.0
computervision-recipes,microsoft,/microsoft/computervision-recipes,/microsoft,8300.0
go-cloud,google,/google/go-cloud,/google,8200.0
caprover,caprover,/caprover/caprover,/caprover,8100.0
azuredatastudio,microsoft,/microsoft/azuredatastudio,/microsoft,6700.0
formidable,node-formidable,/node-formidable/formidable,/node-formidable,6100.0
infracost,infracost,/infracost/infracost,/infracost,5300.0
midway,midwayjs,/midwayjs/midway,/midwayjs,5300.0
clean-code-dotnet,thangchung,/thangchung/clean-code-dotnet,/thangchung,4600.0
docker-android,budtmo,/budtmo/docker-android,/budtmo,4200.0
cloud-custodian,cloud-custodian,/cloud-custodian/cloud-custodian,/cloud-custodian,4000.0
ScoutSuite,nccgroup,/nccgroup/ScoutSuite,/nccgroup,3900.0
tfsec,aquasecurity,/aquasecurity/tfsec,/aquasecurity,3900.0
checkov,bridgecrewio,/bridgecrewio/checkov,/bridgecrewio,3800.0
autorest,Azure,/Azure/autorest,/Azure,3700.0
grant,simov,/simov/grant,/simov,3600.0
azure-sdk-for-net,Azure,/Azure/azure-sdk-for-net,/Azure,3300.0
SynapseML,microsoft,/microsoft/SynapseML,/microsoft,3100.0
terraform-provider-azurerm,hashicorp,/hashicorp/terraform-provider-azurerm,/hashicorp,3100.0
azure-powershell,Azure,/Azure/azure-powershell,/Azure,2900.0
azure-cli,Azure,/Azure/azure-cli,/Azure,2900.0
MachineLearningNotebooks,Azure,/Azure/MachineLearningNotebooks,/Azure,2900.0
komiser,mlabouardy,/mlabouardy/komiser,/mlabouardy,2700.0
openapi-directory,APIs-guru,/APIs-guru/openapi-directory,/APIs-guru,2700.0
learn-to-cloud,learntocloud,/learntocloud/learn-to-cloud,/learntocloud,2400.0
