repo_name,repo_owner,repo_url,repo_owner_url,stars
babel,babel,/babel/babel,/babel,40400.0
nylas-mail,nylas,/nylas/nylas-mail,/nylas,24600.0
react-starter-kit,kriasoft,/kriasoft/react-starter-kit,/kriasoft,21100.0
swc,swc-project,/swc-project/swc,/swc-project,20400.0
ava,avajs,/avajs/ava,/avajs,19600.0
electron-react-boilerplate,electron-react-boilerplate,/electron-react-boilerplate/electron-react-boilerplate,/electron-react-boilerplate,19000.0
electron-vue,SimulatedGREG,/SimulatedGREG/electron-vue,/SimulatedGREG,14700.0
front-end-guide,grab,/grab/front-end-guide,/grab,14200.0
babel-handbook,jamiebuilds,/jamiebuilds/babel-handbook,/jamiebuilds,10700.0
grommet,grommet,/grommet/grommet,/grommet,7800.0
htm,developit,/developit/htm,/developit,7400.0
generator-angular-fullstack,angular-fullstack,/angular-fullstack/generator-angular-fullstack,/angular-fullstack,6100.0
documentation,documentationjs,/documentationjs/documentation,/documentationjs,5500.0
nwb,insin,/insin/nwb,/insin,5400.0
twin.macro,ben-rogerson,/ben-rogerson/twin.macro,/ben-rogerson,5400.0
poi,egoist,/egoist/poi,/egoist,5300.0
thinkjs,thinkjs,/thinkjs/thinkjs,/thinkjs,5300.0
create-react-library,transitive-bullshit,/transitive-bullshit/create-react-library,/transitive-bullshit,4600.0
babel-loader,babel,/babel/babel-loader,/babel,4600.0
backpack,jaredpalmer,/jaredpalmer/backpack,/jaredpalmer,4500.0
react,duxianwei520,/duxianwei520/react,/duxianwei520,4400.0
astexplorer,fkling,/fkling/astexplorer,/fkling,4400.0
minify,babel,/babel/minify,/babel,4300.0
babel-plugin-module-resolver,tleunen,/tleunen/babel-plugin-module-resolver,/tleunen,3200.0
webpack-blocks,andywer,/andywer/webpack-blocks,/andywer,3000.0
babel-eslint,babel,/babel/babel-eslint,/babel,3000.0
express-mongoose-es6-rest-api,kunalkapadia,/kunalkapadia/express-mongoose-es6-rest-api,/kunalkapadia,2800.0
gogocode,thx,/thx/gogocode,/thx,2800.0
esbuild-loader,privatenumber,/privatenumber/esbuild-loader,/privatenumber,2700.0
react-course,uidotdev,/uidotdev/react-course,/uidotdev,2500.0
