repo_name,repo_owner,repo_url,repo_owner_url,stars
the-art-of-command-line,jlevy,/jlevy/the-art-of-command-line,/jlevy,102000.0
nvm,nvm-sh,/nvm-sh/nvm,/nvm-sh,55400.0
fzf,junegunn,/junegunn/fzf,/junegunn,42100.0
pure-bash-bible,dylanaraps,/dylanaraps/pure-bash-bible,/dylanaraps,28300.0
shellcheck,koalaman,/koalaman/shellcheck,/koalaman,27800.0
dotfiles,mathiasbynens,/mathiasbynens/dotfiles,/mathiasbynens,27400.0
awesome-cheatsheets,LeCoupa,/LeCoupa/awesome-cheatsheets,/LeCoupa,26900.0
acme.sh,acmesh-official,/acmesh-official/acme.sh,/acmesh-official,25400.0
awesome-shell,alebcay,/alebcay/awesome-shell,/alebcay,22900.0
starship,starship,/starship/starship,/starship,22400.0
linux-command,jaywcjlove,/jaywcjlove/linux-command,/jaywcjlove,17900.0
openvpn-install,Nyr,/Nyr/openvpn-install,/Nyr,14400.0
neofetch,dylanaraps,/dylanaraps/neofetch,/dylanaraps,14300.0
rbenv,rbenv,/rbenv/rbenv,/rbenv,14000.0
powerline,powerline,/powerline/powerline,/powerline,13100.0
shelljs,shelljs,/shelljs/shelljs,/shelljs,13000.0
bash-it,Bash-it,/Bash-it/bash-it,/Bash-it,12800.0
dockerfiles,jessfraz,/jessfraz/dockerfiles,/jessfraz,12300.0
terminalizer,faressoft,/faressoft/terminalizer,/faressoft,12300.0
autocomplete,withfig,/withfig/autocomplete,/withfig,10700.0
navi,denisidoro,/denisidoro/navi,/denisidoro,10300.0
TabNine,codota,/codota/TabNine,/codota,9000.0
m-cli,rgcr,/rgcr/m-cli,/rgcr,8700.0
Bash-Snippets,alexanderepstein,/alexanderepstein/Bash-Snippets,/alexanderepstein,8600.0
mal,kanaka,/kanaka/mal,/kanaka,8400.0
direnv,direnv,/direnv/direnv,/direnv,8400.0
awesome-cheatsheets,skywind3000,/skywind3000/awesome-cheatsheets,/skywind3000,8100.0
PEASS-ng,carlospolop,/carlospolop/PEASS-ng,/carlospolop,7700.0
openvpn-install,angristan,/angristan/openvpn-install,/angristan,7400.0
gitui,extrawurst,/extrawurst/gitui,/extrawurst,7300.0
