repo_name,repo_owner,repo_url,repo_owner_url,stars
bootstrap,twbs,/twbs/bootstrap,/twbs,155000.0
AdminLTE,ColorlibHQ,/ColorlibHQ/AdminLTE,/ColorlibHQ,40400.0
tabler,tabler,/tabler/tabler,/tabler,25000.0
mdb-ui-kit,mdbootstrap,/mdbootstrap/mdb-ui-kit,/mdbootstrap,22000.0
react-bootstrap,react-bootstrap,/react-bootstrap/react-bootstrap,/react-bootstrap,20400.0
gentelella,ColorlibHQ,/ColorlibHQ/gentelella,/ColorlibHQ,20400.0
js-stack-from-scratch,verekia,/verekia/js-stack-from-scratch,/verekia,18900.0
bootstrap-vue,bootstrap-vue,/bootstrap-vue/bootstrap-vue,/bootstrap-vue,13700.0
bootswatch,thomaspark,/thomaspark/bootswatch,/thomaspark,13400.0
bootstrap-datepicker,uxsolutions,/uxsolutions/bootstrap-datepicker,/uxsolutions,12500.0
bootstrap-table,wenzhixin,/wenzhixin/bootstrap-table,/wenzhixin,11100.0
coreui-free-bootstrap-admin-template,coreui,/coreui/coreui-free-bootstrap-admin-template,/coreui,11100.0
reactstrap,reactstrap,/reactstrap/reactstrap,/reactstrap,10200.0
MaterialDesign,Templarian,/Templarian/MaterialDesign,/Templarian,9800.0
bootstrap-select,snapappointments,/snapappointments/bootstrap-select,/snapappointments,9500.0
material-design-for-bootstrap,mdbootstrap,/mdbootstrap/material-design-for-bootstrap,/mdbootstrap,9500.0
startbootstrap-sb-admin-2,StartBootstrap,/StartBootstrap/startbootstrap-sb-admin-2,/StartBootstrap,9100.0
ng-bootstrap,ng-bootstrap,/ng-bootstrap/ng-bootstrap,/ng-bootstrap,7900.0
startbootstrap,BlackrockDigital,/BlackrockDigital/startbootstrap,/BlackrockDigital,7100.0
Metro-UI-CSS,olton,/olton/Metro-UI-CSS,/olton,6900.0
icons,twbs,/twbs/icons,/twbs,5900.0
material-kit,creativetimofficial,/creativetimofficial/material-kit,/creativetimofficial,5700.0
FEBS-Shiro,febsteam,/febsteam/FEBS-Shiro,/febsteam,5700.0
ngx-bootstrap,valor-software,/valor-software/ngx-bootstrap,/valor-software,5400.0
bootstrap-switch,Bttstrp,/Bttstrp/bootstrap-switch,/Bttstrp,5100.0
bootstrap-fileinput,kartik-v,/kartik-v/bootstrap-fileinput,/kartik-v,5100.0
bootstrap-modal,jschr,/jschr/bootstrap-modal,/jschr,5000.0
VvvebJs,givanz,/givanz/VvvebJs,/givanz,4700.0
twitter-bootstrap-rails,seyhunak,/seyhunak/twitter-bootstrap-rails,/seyhunak,4500.0
favorites-web,cloudfavorites,/cloudfavorites/favorites-web,/cloudfavorites,4500.0
