repo_name,repo_owner,repo_url,repo_owner_url,stars
ccxt,ccxt,/ccxt/ccxt,/ccxt,23300.0
python-telegram-bot,python-telegram-bot,/python-telegram-bot/python-telegram-bot,/python-telegram-bot,17700.0
discord.js,discordjs,/discordjs/discord.js,/discordjs,17500.0
hubot,hubotio,/hubotio/hubot,/hubotio,16100.000000000002
InstaPy,InstaPy,/InstaPy/InstaPy,/InstaPy,13800.0
rasa,RasaHQ,/RasaHQ/rasa,/RasaHQ,13600.0
wechaty,wechaty,/wechaty/wechaty,/wechaty,12100.0
ChatterBot,gunthercox,/gunthercox/ChatterBot,/gunthercox,12000.0
botkit,howdyai,/howdyai/botkit,/howdyai,10600.0
botpress,botpress,/botpress/botpress,/botpress,9600.0
EverydayWechat,sfyc23,/sfyc23/EverydayWechat,/sfyc23,8800.0
YYeTsBot,tgbot-collection,/tgbot-collection/YYeTsBot,/tgbot-collection,8700.0
leon,leon-ai,/leon-ai/leon,/leon-ai,8500.0
ailab,microsoft,/microsoft/ailab,/microsoft,6900.0
EZFN-Lobbybot,EZFNDEV,/EZFNDEV/EZFN-Lobbybot,/EZFNDEV,6900.0
botframework-sdk,microsoft,/microsoft/botframework-sdk,/microsoft,6700.0
trump2cash,maxbbraun,/maxbbraun/trump2cash,/maxbbraun,6100.0
node-telegram-bot-api,yagop,/yagop/node-telegram-bot-api,/yagop,5900.0
DeepPavlov,deepmipt,/deepmipt/DeepPavlov,/deepmipt,5600.0
botman,botman,/botman/botman,/botman,5600.0
telegraf,telegraf,/telegraf/telegraf,/telegraf,5300.0
whatsapp-web.js,pedroslopez,/pedroslopez/whatsapp-web.js,/pedroslopez,4800.0
nlp.js,axa-group,/axa-group/nlp.js,/axa-group,4800.0
streetmerchant,jef,/jef/streetmerchant,/jef,4800.0
igbot,ohld,/ohld/igbot,/ohld,4100.0
go-cqhttp,Mrs4s,/Mrs4s/go-cqhttp,/Mrs4s,3900.0
bottender,Yoctol,/Yoctol/bottender,/Yoctol,3800.0
PokemonGo-Bot,PokemonGoF,/PokemonGoF/PokemonGo-Bot,/PokemonGoF,3700.0
binance-trading-bot,chrisleekr,/chrisleekr/binance-trading-bot,/chrisleekr,3600.0
snips-nlu,snipsco,/snipsco/snips-nlu,/snipsco,3600.0
