repo_name,repo_owner,repo_url,repo_owner_url,stars
scrcpy,Genymobile,/Genymobile/scrcpy,/Genymobile,61200.0
neovim,neovim,/neovim/neovim,/neovim,50800.0
git,git,/git/git,/git,41100.0
obs-studio,obsproject,/obsproject/obs-studio,/obsproject,36100.0
awesome-cpp,fffaraz,/fffaraz/awesome-cpp,/fffaraz,35800.0
open-source-mac-os-apps,serhii-londar,/serhii-londar/open-source-mac-os-apps,/serhii-londar,29400.0
FFmpeg,FFmpeg,/FFmpeg/FFmpeg,/FFmpeg,28200.0
vim,vim,/vim/vim,/vim,26200.0
curl,curl,/curl/curl,/curl,23600.0
the_silver_searcher,ggreer,/ggreer/the_silver_searcher,/ggreer,23300.0
interview,huihut,/huihut/interview,/huihut,22200.0
ruby,ruby,/ruby/ruby,/ruby,18900.0
mpv,mpv-player,/mpv-player/mpv,/mpv-player,17800.0
flatbuffers,google,/google/flatbuffers,/google,17500.0
rufus,pbatard,/pbatard/rufus,/pbatard,17400.0
srs,ossrs,/ossrs/srs,/ossrs,17200.0
graal,oracle,/oracle/graal,/oracle,16500.0
radare2,radareorg,/radareorg/radare2,/radareorg,15800.0
vcpkg,microsoft,/microsoft/vcpkg,/microsoft,14900.0
shadowsocks-libev,shadowsocks,/shadowsocks/shadowsocks-libev,/shadowsocks,14800.0
goaccess,allinurl,/allinurl/goaccess,/allinurl,14300.0
kitty,kovidgoyal,/kovidgoyal/kitty,/kovidgoyal,13600.0
nnn,jarun,/jarun/nnn,/jarun,13500.0
nuklear,vurtun,/vurtun/nuklear,/vurtun,13400.0
infer,facebook,/facebook/infer,/facebook,12900.0
Sourcetrail,CoatiSoftware,/CoatiSoftware/Sourcetrail,/CoatiSoftware,12400.0
C,TheAlgorithms,/TheAlgorithms/C,/TheAlgorithms,12400.0
hashcat,hashcat,/hashcat/hashcat,/hashcat,11700.0
qmk_firmware,qmk,/qmk/qmk_firmware,/qmk,11600.0
raspberry-pi-os,s-matyukevich,/s-matyukevich/raspberry-pi-os,/s-matyukevich,11200.0
