repo_name,repo_owner,repo_url,repo_owner_url,stars
next.js,vercel,/vercel/next.js,/vercel,81300.0
rust,rust-lang,/rust-lang/rust,/rust-lang,63400.0
webpack,webpack,/webpack/webpack,/webpack,60500.0
svelte,sveltejs,/sveltejs/svelte,/sveltejs,55800.0
gatsby,gatsbyjs,/gatsbyjs/gatsby,/gatsbyjs,52300.0
babel,babel,/babel/babel,/babel,40400.0
kotlin,JetBrains,/JetBrains/kotlin,/JetBrains,40300.0
parcel,parcel-bundler,/parcel-bundler/parcel,/parcel-bundler,40200.0
esbuild,evanw,/evanw/esbuild,/evanw,30400.0
v,vlang,/vlang/v,/vlang,26900.0
marked,markedjs,/markedjs/marked,/markedjs,26900.0
swc,swc-project,/swc-project/swc,/swc-project,20400.0
pkg,vercel,/vercel/pkg,/vercel,19700.0
v8,v8,/v8/v8,/v8,19100.0
assemblyscript,AssemblyScript,/AssemblyScript/assemblyscript,/AssemblyScript,13500.0
bytecode-viewer,Konloch,/Konloch/bytecode-viewer,/Konloch,12700.0
Nim,nim-lang,/nim-lang/Nim,/nim-lang,12500.0
zig,ziglang,/ziglang/zig,/ziglang,12500.0
gopherjs,gopherjs,/gopherjs/gopherjs,/gopherjs,10900.0
RustPython,RustPython,/RustPython/RustPython,/RustPython,10600.0
compiler-explorer,compiler-explorer,/compiler-explorer/compiler-explorer,/compiler-explorer,10200.0
gop,goplus,/goplus/gop,/goplus,7900.0
tvm,apache,/apache/tvm,/apache,7700.0
numba,numba,/numba/numba,/numba,7300.0
kotlin-native,JetBrains,/JetBrains/kotlin-native,/JetBrains,7100.0
compiler,elm,/elm/compiler,/elm,6700.0
awesome-compilers,aalhour,/aalhour/awesome-compilers,/aalhour,6500.0
Nuitka,Nuitka,/Nuitka/Nuitka,/Nuitka,6400.0
acwj,DoctorWkt,/DoctorWkt/acwj,/DoctorWkt,6100.0
rescript-compiler,rescript-lang,/rescript-lang/rescript-compiler,/rescript-lang,5700.0
